PLAYER,FNAME,LNAME,PNAME,POS1,POS2,HEIGHT,WEIGHT,YOB,FORTY,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,DPOS,COL,DV,START,CTEAM
AA-0100,Anthony,Adams,A.Adams,DL,,72,300,1980,5.13,,30.5,109,4.59,7.68,57,Penn State,Big Ten,2003,
AA-0200,Al,Afalava,A.Afalava,DB,,71,212,1987,4.48,25,40,125,4.07,6.6,190,Oregon State,Pacific 10,2009,
AA-0300,Anthony,Alabi,A.Alabi,OL,,77,315,1981,5.12,18,32.5,105,4.6,7.64,162,Texas Christian,Mountain West (MWC),2006,
AA-0400,Alex,Albright,A.Albright,LB,,77,260,1988,4.86,22,36,124,4.03,6.98,0,Boston College,Atlantic Coast (ACC),2011,DAL
AA-0500,Allen,Aldridge,A.Aldridge,LB,,73,254,1972,,,,,,,51,Houston,Southwest,1994,
AA-0525,Alvester,Alexander,A.Alexander,RB,,70,206,1990,4.45,18,36,128,4.21,6.89,0,Wyoming,Mountain West (MWC),2012,PIT
AA-0600,Abdul-Karim,al-Jabbar,A.al-Jabbar,RB,,70,194,1974,,,,,,,80,UCLA,Pacific 10,1996,
AA-0700,Andy,Alleman,A.Alleman,OL,,76,310,1983,5.07,30,30,106,4.38,7.43,88,Akron,Mid-American (MAC),2008,
AA-0800,Anthony,Allen,A.Allen,RB,,73,223,1988,4.56,24,41.5,120,4.06,6.79,225,Georgia Tech,Atlantic Coast (ACC),2011,
AA-0850,Antonio,Allen,A.Allen,LB,DB,74,204,1988,4.58,17,34,118,4.25,7.02,0,South Carolina,Southeastern (SEC),2012,NYJ
AA-0900,Armando,Allen,A.Allen,RB,,68,190,1989,4.6,23,31.5,120,4.12,7.1,0,Notre Dame,FBS Independents,2011,
AA-1000,Asher,Allen,A.Allen,DB,,70,190,1988,4.48,22,35,115,4.3,6.93,86,Georgia,Southeastern (SEC),2009,
AA-1100,Aundrae,Allison,A.Allison,WR,,72,198,1986,4.39,,37,127,4.25,6.81,146,East Carolina,Conference USA (C-USA),2007,
AA-1200,Ashley,Ambrose,A.Ambrose,DB,,71,190,1970,,,,,,,29,Mississippi Valley State,Southwestern Athletic (SWAC),1992,
AA-1300,Andre',Anderson,A.Anderson,RB,,71,205,1988,4.58,17,39,123,4.12,6.92,0,Tulane,Conference USA (C-USA),2010,
AA-1400,Antwan,Applewhite,A.Applewhite,DL,LB,75,246,1985,4.73,25,35,115,4.36,7.5,0,San Diego State,Mountain West (MWC),2008,
AA-1500,Adam,Archuleta,A.Archuleta,DB,LB,72,223,1977,4.46,31,,,,,20,Arizona State,Pacific 10,2001,
AA-1550,Armond,Armstead,A.Armstead,DL,,76,290,1990,5.08,,,,,,0,USC,Pacific 12,2012,NE
AA-1600,Anthony,Armstrong,A.Armstrong,WR,,71,183,1983,4.38,,,,,,0,West Texas A&M,,2010,
AA-1700,Adrian,Arrington,A.Arrington,WR,,75,192,1985,4.55,36,,,,,0,Michigan,Big Ten,2010,
AA-1800,Adrian,Awasom,A.Awasom,DL,,77,275,1983,4.93,23,33,107,4.4,7.57,0,North Texas,Sun Belt,2005,
AA-1900,Akeem,Ayers,A.Ayers,LB,,74,254,1989,4.81,22,34.5,116,4.28,7.19,39,UCLA,Pacific 10,2011,TEN
AA-2000,Akin,Ayodele,A.Ayodele,LB,,74,251,1979,4.81,26,35,121,4.12,7,89,Purdue,Big Ten,2002,
AB-0100,Allen,Bailey,A.Bailey,DL,,75,288,1989,4.71,27,36.5,117,4.56,7.43,86,Miami (FL),Atlantic Coast (ACC),2011,KC
AB-0120,Alvin,Bailey,A.Bailey,OL,,75,320,1991,4.9,27,,,4.69,7.5,0,Arkansas,Southeastern (SEC),2013,SEA
AB-0200,Alan,Ball,A.Ball,DB,,74,195,1985,4.52,11,36,124,4.18,6.75,237,Illinois,Big Ten,2007,JAC
AB-0300,Antonio,Banks,A.Banks,DB,,70,203,1973,,,,,,,113,Virginia Tech,Big East,1998,
AB-0400,Alex,Bannister,A.Bannister,WR,,77,207,1979,4.47,,30.5,110,,,140,Eastern Kentucky,Ohio Valley,2001,
AB-0500,Allen,Barbre,A.Barbre,OL,,76,305,1984,4.84,28,32,105,4.63,7.4,119,Missouri Southern,,2007,PHI
AB-0600,Antwan,Barnes,A.Barnes,LB,,73,251,1984,4.43,31,35,122,4.32,7.29,134,Florida International,Sun Belt,2007,NYJ
AB-0700,Alex,Barron,A.Barron,OL,,79,320,1982,5.27,21,38,112,4.57,7.83,19,Florida State,Atlantic Coast (ACC),2005,OAK
AB-0800,Arnaz,Battle,A.Battle,WR,,73,217,1980,4.58,,35,117,4.06,6.74,197,Notre Dame,FBS Independents,2003,
AB-0900,Ainsley,Battles,A.Battles,DB,,71,204,1978,,,,,,,0,Vanderbilt,Southeastern (SEC),2000,
AB-0950,Alan,Baxter,A.Baxter,LB,,72,238,1991,4.77,22,30,111,4.84,7.23,0,Northern Illinois,Mid-American (MAC),2013,PIT
AB-1000,Aaron,Beasley,A.Beasley,DB,,72,205,1973,,,,,,,63,West Virginia,Big East,1996,
AB-1100,Anthony,Becht,A.Becht,TE,,77,272,1977,4.78,,33.5,123,4.08,6.94,27,West Virginia,Big East,2000,
AB-1200,Arrelious,Benn,A.Benn,WR,,73,220,1988,4.57,20,27.5,121,4.32,6.78,39,Illinois,Big Ten,2010,PHI
AB-1300,Adam,Bergen,A.Bergen,TE,,76,263,1983,4.78,25,38,121,4.11,7.12,0,Lehigh,,2005,
AB-1400,Aaron,Berry,A.Berry,DB,,71,180,1988,4.48,11,36,123,3.99,6.61,0,Pittsburgh,Big East,2010,NYJ
AB-1500,Antoine,Bethea,A.Bethea,DB,,71,203,1984,4.39,19,36.5,127,4.13,6.99,207,Howard,Mid-Eastern Athletic (MEAC),2006,IND
AB-1600,Atari,Bigby,A.Bigby,DB,,71,211,1981,4.65,19,35,112,4.11,7,0,Central Florida,Mid-American (MAC),2005,
AB-1700,Armon,Binns,A.Binns,WR,,75,209,1989,4.5,13,33.5,121,4.31,6.86,0,Cincinnati,Big East,2011,MIA
AB-1800,Ahmad,Black,A.Black,DB,,69,190,1989,4.7,18,36.5,119,4.12,6.77,151,Florida,Southeastern (SEC),2011,TB
AB-1900,Avion,Black,A.Black,WR,,71,185,1977,4.42,,,,,,121,Tennessee State,Ohio Valley,2000,
AB-1950,Antwon,Blake,A.Blake,DB,,69,198,1990,4.32,21,39,121,4.09,7.04,0,Texas-El Paso,Conference USA (C-USA),2012,JAC
AB-2000,Anquan,Boldin,A.Boldin,WR,,73,220,1980,4.72,,33.5,114,4.33,7.35,54,Florida State,Atlantic Coast (ACC),2003,SF
AB-2050,Alan,Bonner,A.Bonner,WR,,70,193,1990,4.5,14,33,117,4.09,7.04,195,Jacksonville State,Ohio Valley,2013,HOU
AB-2100,Alex,Boone,A.Boone,OL,,80,300,1987,5.16,33,27.5,103,4.69,7.83,0,Ohio State,Big Ten,2010,SF
AB-2200,Alfonso,Boone,A.Boone,DL,,76,318,1976,,,,,,,253,Central State,,2001,
AB-2250,A.J.,Bouye,A.Bouye,DB,,72,186,1991,4.57,18,36.5,125,4.04,7.06,0,Central Florida,Conference USA (C-USA),2013,HOU
AB-2300,Alvin,Bowen,A.Bowen,LB,,73,220,1983,4.79,15,34,119,4.3,7.1,147,Iowa State,Big 12,2010,
AB-2400,Andy,Bowers,A.Bowers,DL,,77,283,1976,4.83,,,,,,0,Utah,Mountain West (MWC),2001,
AB-2500,Allen,Bradford,A.Bradford,RB,LB,71,235,1988,4.53,28,29,113,4.39,6.97,187,USC,Pacific 10,2011,SEA
AB-2600,Ahmad,Bradshaw,A.Bradshaw,RB,,69,214,1986,4.55,,34,112,4.09,6.7,250,Marshall,Conference USA (C-USA),2007,IND
AB-2700,Alan,Branch,A.Branch,DL,,78,325,1984,5.07,33,27.5,107,4.79,7.56,33,Michigan,Big Ten,2007,BUF
AB-2730,Andre,Branch,A.Branch,DL,,76,259,1989,4.67,19,32.5,120,4.25,7.19,38,Clemson,Atlantic Coast (ACC),2012,JAC
AB-2760,Aaron,Brewer,A.Brewer,OL,,74,225,1990,4.96,10,27.5,102,4.48,7.27,0,San Diego State,Mountain West (MWC),2012,DEN
AB-2800,Anthony,Bright,A.Bright,WR,,73,170,1977,,,,,,,0,Valencia,,2002,
AB-2900,Aaron,Brooks,A.Brooks,QB,,76,220,1976,4.6,,35.5,120,4.29,7.52,131,Virginia,Atlantic Coast (ACC),2000,
AB-3000,Ahmad,Brooks,A.Brooks,DB,,68,180,1980,,,,,,,0,Texas,Big 12,2002,
AB-3100,Ahmad,Brooks,A.Brooks,LB,,75,259,1984,4.64,,,,,,0,Virginia,Atlantic Coast (ACC),2006,SF
AB-3200,Aaron,Brown,A.Brown,RB,,72,196,1985,4.49,16,40,129,4.26,7.22,192,Texas Christian,Mountain West (MWC),2009,
AB-3300,Alex,Brown,A.Brown,DL,,75,262,1979,4.74,,,,,,104,Florida,Southeastern (SEC),2002,
AB-3400,Andre,Brown,A.Brown,RB,,72,227,1986,4.37,24,37,115,4.28,7.08,0,North Carolina State,Atlantic Coast (ACC),2010,NYG
AB-3500,Antonio,Brown,A.Brown,WR,,70,186,1988,4.56,13,33.5,105,4.18,6.98,0,Central Michigan,Mid-American (MAC),2010,PIT
AB-3550,Antonio,Brown,A.Brown,WR,,70,175,1978,,,,,,,0,West Virginia,Big East,2003,
AB-3570,Arthur,Brown,A.Brown,LB,,72,241,1990,4.67,21,32.5,116,4.31,7.07,56,Kansas State,Big 12,2013,BAL
AB-3600,Arland,Bruce,A.Bruce,WR,,70,193,1977,,,,,,,0,Minnesota,Big Ten,2003,
AB-3700,Anthony,Bryant,A.Bryant,DL,,75,336,1981,5.06,23,31.5,106,4.72,7.8,178,Alabama,Southeastern (SEC),2005,
AB-3800,Antonio,Bryant,A.Bryant,WR,,73,192,1981,4.57,,37,121,,,63,Pittsburgh,Big East,2002,
AB-3850,Armonty,Bryant,A.Bryant,DL,,76,263,1990,4.69,15,34.5,121,4.43,7.14,217,East Central Oklahoma,,2013,CLE
AB-3900,Antwon,Burton,A.Burton,DL,,75,315,1983,5.39,31,31.5,113,,,0,Temple,FBS Independents,2006,
AC-0100,Andre,Caldwell,A.Caldwell,WR,RB,72,200,1985,4.35,18,36.5,124,4.11,6.75,97,Florida,Southeastern (SEC),2008,DEN
AC-0200,Antoine,Caldwell,A.Caldwell,OL,,75,305,1986,5.24,23,28,111,5.04,7.96,77,Alabama,Southeastern (SEC),2009,
AC-0300,Anthony,Cannon,A.Cannon,LB,,70,226,1984,4.75,,,,,,247,Tulane,Conference USA (C-USA),2006,
AC-0400,Adam,Carriker,A.Carriker,DL,,78,296,1984,4.9,33,33.5,110,4.18,7.06,13,Nebraska,Big 12,2007,WAS
AC-0500,Alex,Carrington,A.Carrington,DL,LB,77,285,1987,4.92,26,33,122,4.81,7.64,72,Arkansas State,Sun Belt,2010,BUF
AC-0600,Ahmad,Carroll,A.Carroll,DB,,71,190,1983,4.34,15,41,128,,,25,Arkansas,Southeastern (SEC),2004,
AC-0700,Andre,Carter,A.Carter,DL,LB,76,265,1979,4.84,20,38.5,132,4.24,,7,California,Pacific 10,2001,NE
AC-0900,Antoine,Cash,A.Cash,LB,,73,223,1982,,,,,,,0,Southern Mississippi,Conference USA (C-USA),2005,
AC-1000,Antoine,Cason,A.Cason,DB,,72,195,1986,4.45,20,35.5,128,4.08,7.07,27,Arizona,Pacific 10,2008,ARI
AC-1100,Aveion,Cason,A.Cason,RB,WR,70,204,1979,4.43,,,,,,0,Illinois State,Missouri Valley,2001,
AC-1200,Anthony,Castonzo,A.Castonzo,OL,,79,305,1988,5.21,28,29.5,105,4.4,7.25,22,Boston College,Atlantic Coast (ACC),2011,IND
AC-1300,Antonio,Chatman,A.Chatman,WR,,69,177,1979,,,,,,,0,Cincinnati,Conference USA (C-USA),2003,
AC-1400,Adrien,Clarke,A.Clarke,OL,,77,330,1981,5.52,,26,102,4.79,7.93,227,Ohio State,Big Ten,2005,
AC-1500,Adrian,Clayborn,A.Clayborn,DL,,75,281,1988,4.78,17,33,114,4.13,7.08,20,Iowa,Big Ten,2011,TB
AC-1600,Anthony,Clement,A.Clement,OL,,80,333,1976,,,,,,,36,Louisiana-Lafayette,FBS Independents,1998,
AC-1700,Avon,Cobourne,A.Cobourne,RB,,68,205,1979,4.7,21,31.5,112,4.18,7.21,0,West Virginia,Big East,2003,
AC-1800,Antonio,Cochran,A.Cochran,DL,,76,299,1976,5.12,19,33,112,4.55,7.87,115,Georgia,Southeastern (SEC),1999,
AC-1850,Audie,Cole,A.Cole,LB,,76,239,1989,4.76,15,35,114,4.29,6.96,210,North Carolina State,Atlantic Coast (ACC),2012,MIN
AC-1900,Andre,Coleman,A.Coleman,DL,,75,287,1985,5.08,,,,,,0,Albany,,2009,
AC-2000,Antonio,Coleman,A.Coleman,LB,,74,255,1986,4.87,18,33.5,116,4.46,7.01,0,Auburn,Southeastern (SEC),2010,
AC-2100,Austin,Collie,A.Collie,WR,RB,72,200,1985,4.56,17,34,120,4.07,6.78,127,Brigham Young,Mountain West (MWC),2009,NE
AC-2200,Anthony,Collins,A.Collins,OL,,77,315,1985,5.54,26,27.5,97,4.87,7.71,112,Kansas,Big 12,2008,CIN
AC-2300,Albert,Connell,A.Connell,WR,,72,179,1974,,,,,,,115,Texas A&M,Big 12,1997,
AC-2400,Antonio,Cromartie,A.Cromartie,DB,WR,74,210,1984,4.47,18,38,132,3.89,7.02,19,Florida State,Atlantic Coast (ACC),2006,NYJ
AC-2500,Angelo,Crowell,A.Crowell,LB,,73,235,1981,4.73,25,32.5,,4.29,7.08,94,Virginia,Atlantic Coast (ACC),2003,
AC-2600,Andrew,Crummey,A.Crummey,OL,,77,309,1984,5.32,,,,,,0,Maryland,Atlantic Coast (ACC),2008,
AC-2700,Alge,Crumpler,A.Crumpler,TE,RB,74,262,1977,4.76,22,34,112,4.43,7.38,35,North Carolina,Atlantic Coast (ACC),2001,
AC-2750,Andy,Cruse,A.Cruse,WR,,75,212,1990,4.68,13,34,126,4.22,6.83,0,Miami (OH),Mid-American (MAC),2013,HOU
AC-2800,Airese,Currie,A.Currie,WR,,70,186,1982,4.49,,38,125,4.07,7.07,140,Clemson,Atlantic Coast (ACC),2006,
AC-2900,Aaron,Curry,A.Curry,LB,,74,255,1986,4.52,25,37,124,4.51,7.15,4,Wake Forest,Atlantic Coast (ACC),2009,
AD-0100,Andy,Dalton,A.Dalton,QB,,74,215,1987,4.82,,29.5,106,4.27,6.93,35,Texas Christian,Mountain West (MWC),2011,CIN
AD-0200,Antico,Dalton,A.Dalton,LB,,73,240,1975,4.71,30,35,117,4.32,7.49,199,Hampton,Mid-Eastern Athletic (MEAC),1999,
AD-0250,Andrew,Datko,A.Datko,OL,,78,315,1990,5.19,,29.5,100,4.54,7.71,241,Florida State,Atlantic Coast (ACC),2012,
AD-0270,A.J.,Davis,A.Davis,DB,,72,183,1989,4.44,8,35.5,127,4.46,7.07,0,Jacksonville State,Ohio Valley,2012,NO
AD-0300,Andra,Davis,A.Davis,LB,,73,255,1978,4.77,20,31.5,112,,,141,Florida,Southeastern (SEC),2002,
AD-0400,Andre',Davis,A.Davis,WR,,73,195,1979,4.42,,39.5,123,4.1,6.77,47,Virginia Tech,Big East,2002,
AD-0500,Anthony,Davis,A.Davis,LB,,72,235,1969,,,,,,,301,Utah,Western Athletic,1993,
AD-0600,Anthony,Davis,A.Davis,OL,,77,323,1989,5.36,21,33,99,4.97,8.17,11,Rutgers,Big East,2010,SF
AD-0650,Anthony,Davis,A.Davis,OL,,76,322,1980,5.34,,27.5,95,4.98,8.26,0,Virginia Tech,Big East,2004,
AD-0680,Austin,Davis,A.Davis,QB,,74,221,1989,4.69,,31,109,4.11,6.73,0,Southern Mississippi,Conference USA (C-USA),2012,
AD-0700,Andrew,Davison,A.Davison,DB,,71,185,1979,,,,,,,0,Kansas,Big 12,2002,
AD-0750,Alex,Debniak,A.Debniak,RB,,74,240,1990,4.61,25,33.5,123,4.29,7.03,0,Stanford,Pacific 12,2013,SF
AD-0800,Al,Del Greco,A.Del Greco,K,,70,200,1962,,,,,,,0,Auburn,Southeastern (SEC),1984,
AD-0900,Anthony,Denman,A.Denman,LB,,71,235,1979,4.76,,,,,,213,Notre Dame,FBS Independents,2001,
AD-0930,Alfonzo,Dennard,A.Dennard,DB,,70,205,1989,4.48,,37,121,,,224,Nebraska,Big Ten,2012,NE
AD-0960,Antonio,Dennard,A.Dennard,DB,,71,185,1989,,,,,,,0,Langston,,2012,
AD-1000,Autry,Denson,A.Denson,RB,,70,193,1976,4.67,20,31,116,4.15,6.97,233,Notre Dame,FBS Independents,1999,
AD-1100,Akeem,Dent,A.Dent,LB,,73,242,1987,4.78,24,37.5,123,4.38,6.93,91,Georgia,Southeastern (SEC),2011,ATL
AD-1200,Adrian,Dingle,A.Dingle,DL,,75,272,1977,4.94,20,33,112,4.4,7.43,139,Clemson,Atlantic Coast (ACC),2000,
AD-1300,Anthony,Dixon,A.Dixon,RB,,73,233,1987,4.67,15,33,121,4.45,7.09,173,Mississippi State,Southeastern (SEC),2010,SF
AD-1400,Antonio,Dixon,A.Dixon,DL,,74,325,1985,5.17,,,,,,0,Miami (FL),Atlantic Coast (ACC),2009,
AD-1450,Aaron,Dobson,A.Dobson,WR,,75,210,1991,4.37,16,35,121,4.33,7.19,59,Marshall,Conference USA (C-USA),2013,NE
AD-1500,Anthony,Dorsett,A.Dorsett,DB,,71,205,1973,,,,,,,177,Pittsburgh,Big East,1996,
AD-1600,Anthony,Dunn,A.Dunn,DL,,74,255,1980,,,,,,,0,Northern Colorado,,2003,
AD-1700,Andre,Dyson,A.Dyson,DB,,70,183,1979,4.4,,,119,,,60,Utah,Mountain West (MWC),2001,
AE-0100,Adimchinobe,Echemandu,A.Echemandu,RB,,70,225,1980,4.58,,,,,,208,California,Pacific 10,2004,
AE-0200,Andrew,Economos,A.Economos,OL,,73,250,1982,4.98,,,,,,0,Georgia Tech,Atlantic Coast (ACC),2006,TB
AE-0300,A.J.,Edds,A.Edds,LB,,76,246,1987,4.62,16,33,120,4.28,7.19,0,Iowa,Big Ten,2011,
AE-0400,Antuan,Edwards,A.Edwards,DB,,73,212,1977,4.46,,38,123,3.96,6.89,25,Clemson,Atlantic Coast (ACC),1999,
AE-0500,Armanti,Edwards,A.Edwards,WR,,71,187,1988,4.43,13,34.5,123,4.19,6.74,89,Appalachian State,Southern,2010,CLE
AE-0600,Abram,Elam,A.Elam,DB,,72,207,1981,4.49,,,,,,0,Notre Dame,FBS Independents,2006,
AE-0700,Aaron,Elling,A.Elling,K,,74,201,1978,,,,,,,0,Wyoming,Mountain West (MWC),2003,
AE-0750,Andre,Ellington,A.Ellington,RB,,69,199,1989,4.52,,34,122,,,187,Clemson,Atlantic Coast (ACC),2013,ARI
AE-0800,Atiyyah,Ellison,A.Ellison,DL,,75,322,1981,5.07,25,27.5,103,4.83,8.01,89,Missouri,Big 12,2006,
AE-0900,Auston,English,A.English,LB,DL,75,250,1987,4.8,25,35,120,4.41,7.36,0,Oklahoma,Big 12,2011,
AE-1000,Alonzo,Ephraim,A.Ephraim,OL,,76,312,1981,5.32,,,,,,0,Alabama,Southeastern (SEC),2003,
AF-0100,Alan,Faneca,A.Faneca,OL,,77,312,1976,,,,,,,26,LSU,Southeastern (SEC),1998,
AF-0200,Anthony,Fasano,A.Fasano,TE,WR,76,255,1984,4.86,19,33.5,112,4.34,6.94,53,Notre Dame,FBS Independents,2006,KC
AF-0300,A.J.,Feeley,A.Feeley,QB,,75,225,1977,5.13,,26,,4.16,,155,Oregon,Pacific 10,2001,
AF-0400,Aaron,Fields,A.Fields,DL,,76,243,1976,4.76,22,34,115,4.56,7.51,0,Troy,Southland,2000,
AF-0500,Alfred,Fincher,A.Fincher,LB,,73,241,1983,4.68,25,31.5,112,4.48,7.7,82,Connecticut,Big East,2005,
AF-0600,Anthony,Floyd,A.Floyd,DB,,70,202,1981,4.6,19,33.5,117,4.2,7.09,0,Louisville,Conference USA (C-USA),2003,
AF-0700,Andre,Fluellen,A.Fluellen,DL,,74,285,1985,5,,28.5,104,4.45,7.78,87,Florida State,Atlantic Coast (ACC),2008,DET
AF-0800,Al,Fontenot,A.Fontenot,DL,,76,287,1970,,,,,,,112,Baylor,Southwest,1993,
AF-0900,Arian,Foster,A.Foster,RB,,73,224,1986,4.68,23,32,115,4.53,7.09,0,Tennessee,Southeastern (SEC),2009,HOU
AF-1000,Aaron,Francisco,A.Francisco,DB,LB,74,212,1983,4.74,17,35,113,4.13,6.98,0,Brigham Young,Mountain West (MWC),2005,
AF-1100,Aubrayo,Franklin,A.Franklin,DL,,73,315,1980,5.2,,27,100,4.79,,146,Tennessee,Southeastern (SEC),2003,IND
AF-1200,Andre,Frazier,A.Frazier,LB,,77,234,1982,4.66,19,38,124,4.12,7.09,0,Cincinnati,Conference USA (C-USA),2005,
AF-1300,Antonio,Freeman,A.Freeman,WR,,73,198,1972,,,,,,,90,Virginia Tech,Big East,1995,
AF-1400,Arturo,Freeman,A.Freeman,DB,,73,200,1976,4.5,14,35.5,124,4.38,6.91,152,South Carolina,Southeastern (SEC),2000,
AG-0100,Andrew,Gachkar,A.Gachkar,LB,,75,240,1988,4.58,18,34,118,4.29,6.95,234,Missouri,Big 12,2011,SD
AG-0200,Anthony,Gaitor,A.Gaitor,DB,,70,175,1988,4.48,12,36,126,4.12,6.85,222,Florida International,Sun Belt,2011,
AG-0300,Antonio,Garay,A.Garay,DL,,75,320,1979,4.9,,,,,,195,Boston College,Big East,2003,
AG-0400,Andrew,Gardner,A.Gardner,OL,,78,305,1986,4.98,,30.5,107,4.7,7.51,181,Georgia Tech,Atlantic Coast (ACC),2009,HOU
AG-0500,Antonio,Gates,A.Gates,TE,,76,255,1980,,,,,,,0,Kent State,Mid-American (MAC),2003,SD
AG-0600,Akbar,Gbaja-Biamila,A.Gbaja-Biamila,DL,LB,77,270,1979,4.9,,,,,,0,San Diego State,Mountain West (MWC),2003,
AG-0650,Adam,Gettis,A.Gettis,OL,,74,293,1988,4.9,,31.5,112,4.65,7.99,141,Iowa,Big Ten,2012,WAS
AG-0700,Aaron,Gibson,A.Gibson,OL,,78,375,1977,5.35,31,24,111,4.54,7.99,27,Wisconsin,Big Ten,2000,
AG-0800,Aaron,Glenn,A.Glenn,DB,,69,185,1972,,,,,,,12,Texas A&M,Southwest,1994,
AG-0900,Andrew,Glover,A.Glover,TE,,78,250,1967,,,,,,,274,Grambling State,Southwestern Athletic (SWAC),1991,
AG-1000,Adam,Goldberg,A.Goldberg,OL,,79,310,1980,,,,,,,0,Wyoming,Mountain West (MWC),2004,
AG-1100,Anthony,Gonzalez,A.Gonzalez,WR,,72,193,1984,4.44,16,38,123,4.08,6.54,32,Ohio State,Big Ten,2007,
AG-1200,Andre',Goodman,A.Goodman,DB,LB,70,185,1978,4.36,,,,,,68,South Carolina,Southeastern (SEC),2002,
AG-1300,Amon,Gordon,A.Gordon,DL,,74,305,1981,4.88,,,,,,161,Stanford,Pacific 10,2004,
AG-1400,Aaron,Graham,A.Graham,OL,,76,301,1973,,,,,,,112,Nebraska,Big Eight,1996,
AG-1500,A.J.,Green,A.Green,WR,,76,211,1988,4.4,18,34.5,126,4.21,6.91,4,Georgia,Southeastern (SEC),2011,CIN
AG-1600,Ahman,Green,A.Green,RB,,72,217,1977,,,,,,,76,Nebraska,Big 12,1998,
AG-1700,Alex,Green,A.Green,RB,,72,225,1988,4.45,20,34,114,4.15,6.91,96,Hawaii,Western Athletic,2011,NYJ
AG-1800,Andy,Groom,A.Groom,K,,72,196,1979,4.63,,,,,,0,Ohio State,Big Ten,2005,
AG-1900,Andre,Gurode,A.Gurode,OL,,76,314,1979,5.34,,30.5,100,5.05,8.15,37,Colorado,Big 12,2002,OAK
AH-0100,Adam,Haayer,A.Haayer,OL,,78,311,1977,5.3,23,,,,,199,Minnesota,Big Ten,2002,
AH-0200,Az-Zahir,Hakim,A.Hakim,WR,,70,189,1977,,,,,,,96,San Diego State,Western Athletic,1998,
AH-0300,Ahmard,Hall,A.Hall,RB,,71,235,1979,4.49,24,,120,4.22,7.22,0,Texas,Big 12,2006,
AH-0400,Alex,Hall,A.Hall,DL,LB,77,250,1985,4.72,,,,,,231,St. Augustine's,,2008,
AH-0500,Andre,Hall,A.Hall,RB,,69,205,1982,4.4,18,33,113,4.2,7.39,0,South Florida,Big East,2007,
AH-0600,Andy,Hall,A.Hall,QB,,75,218,1980,4.68,,,,,,185,Delaware,Atlantic 10,2005,
AH-0700,Aaron,Halterman,A.Halterman,TE,,77,255,1982,4.93,20,33.5,110,4.22,6.92,0,Indiana,Big Ten,2007,
AH-0750,Adrian,Hamilton,A.Hamilton,LB,,75,251,1987,4.84,24,30,110,4.5,7.06,0,Prairie View,,2012,BAL
AH-0800,Anthony,Hargrove,A.Hargrove,DL,,75,269,1983,4.85,,,,,,91,Georgia Tech,Atlantic Coast (ACC),2004,
AH-0900,Alan,Harper,A.Harper,DL,,73,285,1979,5.27,,30.5,104,4.64,,121,Fresno State,Western Athletic,2004,
AH-1000,Al,Harris,A.Harris,DB,,73,185,1974,,,,,,,169,Texas A&M-Kingsville,Big 12,1997,
AH-1400,Antoine,Harris,A.Harris,DB,,70,240,1984,4.48,,36,120,4.01,6.9,0,Louisville,Big East,2007,
AH-1100,Antwan,Harris,A.Harris,DB,,69,194,1977,4.34,16,39,121,4.01,6.75,187,Virginia,Atlantic Coast (ACC),2000,
AH-1200,Arlen,Harris,A.Harris,RB,,70,212,1980,,,,,,,0,Virginia,Atlantic Coast (ACC),2003,
AH-1300,Atnaf,Harris,A.Harris,WR,,73,182,1979,,,,,,,0,Fresno State,Western Athletic,2002,
AH-1500,Arnold,Harrison,A.Harrison,LB,,75,236,1982,4.69,19,34.5,117,4.35,7.31,0,Georgia,Southeastern (SEC),2006,
AH-1600,Andre,Hastings,A.Hastings,WR,,73,190,1971,,,,,,,76,Georgia,Southeastern (SEC),1993,
AH-1700,Armon,Hatcher,A.Hatcher,DB,,72,212,1976,4.58,,36,122,4.2,7.23,194,Oregon State,Pacific 10,2000,
AH-1800,A.J.,Hawk,A.Hawk,LB,,73,242,1984,4.59,24,40,115,3.96,6.82,5,Ohio State,Big Ten,2006,GB
AH-1900,Andrew,Hawkins,A.Hawkins,WR,,67,175,1986,4.38,9,38,114,4.03,6.81,0,Toledo,Mid-American (MAC),2011,CIN
AH-2000,Artrell,Hawkins,A.Hawkins,DB,LB,70,190,1976,,,,,,,43,Cincinnati,Conference USA (C-USA),1998,
AH-2100,Anttaj,Hawthorne,A.Hawthorne,DL,,75,310,1981,5.23,24,30.5,103,4.69,7.7,175,Wisconsin,Big Ten,2005,
AH-2200,Alex,Haynes,A.Haynes,RB,,70,223,1982,4.51,21,38,120,3.9,,0,Central Florida,Conference USA (C-USA),2007,
AH-2300,Albert,Haynesworth,A.Haynesworth,DL,,78,320,1981,5.09,,,,,,15,Tennessee,Southeastern (SEC),2002,
AH-2400,Adam,Hayward,A.Hayward,LB,,73,240,1984,4.5,23,36,118,4.47,7.07,182,Portland State,Big Sky,2007,TB
AH-2500,Andy,Heck,A.Heck,OL,,78,298,1967,,,,,,,15,Notre Dame,FBS Independents,1989,
AH-2600,Alex,Henery,A.Henery,K,,73,177,1987,4.87,,,,,,120,Nebraska,Big 12,2011,PHI
AH-2700,Anthony,Henry,A.Henry,DB,,73,205,1976,4.6,15,41,126,4.21,6.92,97,South Florida,FCS Independents,2001,
AH-2800,Aaron,Hernandez,A.Hernandez,TE,RB,74,245,1989,4.53,30,33,111,4.18,6.83,113,Florida,Southeastern (SEC),2010,
