PID,KICKER,KGRO,KNET,KTB,KR,KRY
360936,TM-2400,65,39,N,DS-3300,26
360943,NK-0200,64,50,N,PT-0400,14
360952,TM-2400,65,42,N,DS-3300,23
360966,TM-2400,62,40,N,DS-3300,22
360983,NK-0200,68,47,N,PT-0400,21
360994,TM-2400,66,46,N,DS-3300,20
361009,NK-0200,13,13,N,XX-0000,0
361016,NK-0200,68,51,N,PT-0400,17
361040,TM-2400,62,30,N,DS-3300,32
361042,CB-0700,68,43,N,LW-0500,25
361055,JF-0900,62,51,N,DS-0700,11
361077,CB-0700,70,42,N,LW-0500,28
361109,JF-0900,67,44,N,DS-0700,23
361121,CB-0700,63,40,N,LW-0500,23
361122,JF-0900,76,48,N,DS-0700,28
361135,CB-0700,67,45,N,JM-4800,22
361158,JF-0900,62,36,N,DS-0700,26
361175,CB-0700,66,40,N,LW-0500,26
361195,JF-0900,69,34,N,DS-0700,35
361204,RL-0900,78,58,Y,XX-0000,0
361215,DC-0500,56,33,N,LM-1100,23
361225,RL-0900,70,44,N,TG-0900,26
361254,RL-0900,42,41,N,TG-0900,1
361282,DC-0500,71,40,N,LM-1100,31
361292,RL-0900,65,45,Y,XX-0000,0
361299,DC-0500,58,51,N,LM-1100,7
361313,DC-0500,50,32,N,CM-2000,18
361321,DC-0500,61,45,N,LM-1100,16
361337,BM-3600,48,38,N,TG-0900,10
361346,DC-0500,69,43,N,LM-1100,26
361362,MB-4600,67,47,N,MA-1400,20
361373,MB-4600,66,49,N,IS-0600,17
361398,MB-4600,59,41,N,MA-1400,18
361413,PW-0600,61,45,N,CS-2600,16
361441,NF-0300,19,19,N,XX-0000,0
361442,NF-0300,69,47,N,CS-2600,22
361464,NF-0300,73,49,N,CS-2600,24
361475,MB-4600,67,47,N,IS-0600,20
361522,DA-0300,69,48,N,JN-1800,21
361576,MK-1200,63,46,N,QD-0100,17
361596,DA-0300,54,37,N,OM-0400,17
361610,MK-1200,53,39,N,CB-4800,14
361621,DA-0300,55,41,N,JN-1800,14
361663,DA-0300,65,52,N,JN-1800,13
361681,MK-1200,74,58,N,QD-0100,16
361689,DA-0300,59,39,N,JN-1800,20
361699,SG-0800,69,-6,N,DH-0600,75
361712,JB-7100,68,43,N,EH-0800,25
361727,SG-0800,73,58,N,DH-0600,15
361734,JB-7100,70,44,N,WW-0200,26
361763,SG-0800,62,57,N,DH-0600,5
361773,JB-7100,11,11,N,XX-0000,0
361790,JB-7100,66,45,N,EH-0800,21
361815,JB-7100,69,20,N,EH-0800,49
361830,SG-0800,70,50,Y,XX-0000,0
361844,SG-0800,67,48,N,DH-0600,19
361863,NR-0100,70,44,N,MJ-2100,26
361881,NR-0100,70,50,Y,XX-0000,0
361909,NR-0100,75,47,N,MJ-2100,28
361924,RL-1000,73,48,N,JA-2400,25
361944,RL-1000,50,34,N,CC-0200,16
361954,NR-0100,70,50,Y,XX-0000,0
361962,RL-1000,70,54,N,JA-2400,16
361967,RL-1000,70,48,N,JA-2400,22
361980,NR-0100,75,43,N,MJ-2100,32
361985,RL-1000,72,48,N,JA-2400,24
362000,RL-1000,70,50,Y,XX-0000,0
362021,JH-0900,78,58,Y,XX-0000,0
362034,SS-3100,59,38,N,BM-2100,21
362053,JH-0900,75,59,N,RC-0800,16
362067,JH-0900,74,47,N,RC-0800,27
362098,SS-3100,68,44,N,BM-2100,24
362110,SS-3100,70,50,Y,XX-0000,0
