PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
1825,JM-4700,43,40,N,JL-1400,3,N
1831,KR-0700,37,37,N,XX-0000,0,N
1839,JM-4700,56,36,Y,XX-0000,0,N
1847,KR-0700,32,32,N,XX-0000,0,N
1851,JM-4700,63,56,N,JL-1400,7,N
1891,KR-0700,46,26,Y,XX-0000,0,N
1895,JM-4700,47,41,N,JL-1400,6,N
1904,KR-0700,24,24,N,BS-1700,0,Y
1931,KR-0700,40,40,N,TE-0200,0,Y
1944,KR-0700,51,51,N,XX-0000,0,N
1973,TB-0600,27,27,N,XX-0000,0,N
1985,TB-0600,52,52,N,XX-0000,0,N
1996,KW-0200,42,34,N,DS-0400,8,N
2000,TB-0600,37,37,N,XX-0000,0,N
2004,KW-0200,46,46,N,DS-0400,0,Y
2030,TB-0600,45,45,N,MB-1000,0,Y
2034,KW-0200,52,44,N,DS-0400,8,N
2063,KW-0200,37,37,N,DS-0400,0,Y
2081,KW-0200,37,38,N,DS-0400,-1,N
2111,CM-2600,56,46,N,DM-0500,10,N
2120,CM-2600,46,32,N,DM-0500,14,N
2124,CH-2900,35,35,N,CW-0900,0,Y
2129,CM-2600,47,29,N,DM-0500,18,N
2133,CH-2900,30,30,N,CW-0900,0,Y
2156,CH-2900,46,46,N,XX-0000,0,N
2160,CM-2600,34,34,N,XX-0000,0,N
2192,CH-2900,46,47,N,CW-0900,-1,N
2197,CM-2600,41,34,N,DM-0500,7,N
2201,CH-2900,38,27,N,CW-0900,11,N
2208,CM-2600,38,31,N,DM-0500,7,N
2212,CH-2900,33,33,N,CW-0900,0,N
2223,CH-2900,37,37,N,CW-0900,0,Y
2241,CM-2600,43,43,N,DM-0500,0,Y
2251,CM-2600,36,32,N,DM-0500,4,N
2255,CH-2900,40,31,N,CW-0900,9,N
2262,CM-2600,34,34,N,DM-0500,0,Y
2267,CH-2900,41,39,N,CW-0900,2,N
2282,JB-0500,34,34,N,DO-0200,0,Y
2304,TR-0900,58,-28,N,AH-0200,86,N
2376,TR-0900,31,31,N,XX-0000,0,N
2444,KR-0700,20,20,N,XX-0000,0,N
2457,KR-0700,46,44,N,RB-1100,2,N
2471,KR-0700,46,31,N,RB-1100,15,N
2480,BB-0800,50,30,Y,XX-0000,0,N
2488,KR-0700,33,33,N,RB-1100,0,Y
2508,KR-0700,49,39,N,RB-1100,10,N
2533,BB-0800,43,43,N,XX-0000,0,N
2568,BB-0800,21,21,N,XX-0000,0,N
2575,KR-0700,49,50,N,RB-1100,-1,N
2603,KR-0700,45,36,N,RB-1100,9,N
2629,JB-3500,52,52,N,XX-0000,0,N
2643,CM-2600,51,31,Y,XX-0000,0,N
2649,JB-3500,46,47,N,CW-0900,-1,N
2655,CM-2600,22,22,N,XX-0000,0,N
2661,JB-3500,33,33,N,CW-0900,0,Y
2672,CM-2600,34,34,N,XX-0000,0,N
2676,JB-3500,42,42,N,CW-0900,0,N
2710,CM-2600,41,36,N,AR-1700,5,N
2720,JB-3500,49,45,N,CW-0900,4,N
2743,JB-3500,31,31,N,CW-0900,0,Y
2747,CM-2600,39,39,N,AR-1700,0,Y
2751,JB-3500,46,46,N,CW-0900,0,Y
