PID,INT,YDS
22152,FW-0500,0
22215,KK-0400,0
22242,JF-0500,0
22243,EB-1700,0
22363,CW-3700,23
22405,JT-0700,24
22570,BD-0700,0
22573,DW-4600,12
22700,BW-2800,1
22735,AS-1000,8
22802,RH-1100,0
22891,SR-1100,2
22897,JP-3600,0
23112,DM-1000,0
23223,DS-1600,4
23233,DS-1600,18
23257,MM-2700,26
23335,TW-2900,0
23440,WH-0200,0
23445,KC-0300,19
23465,KC-0300,12
23494,DP-1900,0
23537,DH-4100,0
23562,ED-0100,0
23641,DP-1200,0
23694,DH-3600,0
23961,DN-0800,7
24044,EW-1200,1
24142,CB-4100,12
24154,BW-1100,0
24358,AW-1300,13
24537,DM-1000,2
24563,RP-1000,10
24585,LF-0300,12
24673,BT-0500,38
24897,BW-0300,31
24909,SM-0200,22
24936,BW-0300,7
25006,PS-1000,0
25053,ZB-0300,23
25254,AE-0400,4
25465,PP-0500,87
25511,JB-7900,11
25533,MW-0800,1
25654,RC-2600,0
25703,BR-1300,-3
25722,WT-0100,1
25887,RW-4100,0
25900,PS-0700,16
25904,CH-1800,42
25936,PS-0700,0
25969,RL-0600,0
26044,TP-0400,38
26078,DR-2100,0
26113,BU-0200,19
26132,BR-1300,3
26184,RB-1700,7
26199,ST-1300,75
26250,FB-0700,0
26271,DJ-0800,16
26380,TM-1100,0
26444,EJ-0700,-1
26644,KC-0300,2
26695,BW-0300,0
26702,CH-2200,0
26768,TS-1300,0
26781,TS-0800,0
26788,SE-0400,1
26871,RT-0200,0
26958,KW-2400,14
27073,RB-1600,0
27091,LM-1300,2
27188,CW-3700,0
27330,KS-0300,14
27453,SW-1500,0
27507,RF-1300,8
27616,MC-0100,26
27738,JW-1600,70
27822,JM-4400,0
27840,LC-0500,0
27841,SR-1100,17
27869,PE-0200,33
27991,KH-0500,0
28081,CS-1100,8
28112,DD-0100,5
28130,DM-1000,23
28256,CB-0100,48
28408,RG-2000,25
28550,MW-0300,10
28570,BW-1100,101
28662,CM-1200,14
28663,MM-4600,3
29053,BM-0200,25
29116,SR-1100,-6
29169,SR-1100,5
29317,MW-1100,21
29392,EA-0400,15
29624,MP-0600,24
29644,JH-2600,5
29648,JS-1500,2
29822,EB-1700,9
29831,SS-2600,8
29856,WW-0700,0
29858,JS-5300,21
29898,LF-0300,6
30028,LF-0300,11
30062,CO-0800,0
30315,CB-0100,0
30573,RS-2900,4
30647,TW-2900,46
30669,JH-4400,28
30719,ED-0100,8
30749,HN-0200,0
30796,KW-2400,14
30851,CB-4100,0
30862,AA-0500,4
30923,GK-0100,27
31002,CK-0500,14
31081,PS-1000,0
31118,SM-0200,20
31191,BW-0300,29
31246,LF-0300,4
31251,JH-4400,0
31264,TL-1300,21
31311,JH-4400,88
31317,ED-0100,3
31335,DE-1200,0
31424,AW-1300,7
31514,TC-0800,10
31846,JS-5300,2
31855,EB-1700,0
31946,VG-0200,43
32004,DM-0100,35
32032,NF-0200,20
32256,EA-0400,27
32523,MM-4400,17
32532,ZB-0300,9
32544,MM-4400,46
32547,ZB-0300,43
32581,BK-0600,9
32782,DS-0400,6
32785,SG-0300,4
32814,EM-0900,17
32971,TW-2900,38
33006,DS-1600,4
33141,OS-0800,56
33239,RH-1100,0
33272,CM-1200,9
33274,RH-1100,19
33614,BD-0700,32
33622,TV-0200,0
33681,BT-0500,1
33756,RM-3300,0
33849,JB-2900,16
33866,AW-1600,20
33891,JS-5300,79
33986,BJ-1000,0
34045,TM-1100,43
34073,DW-0300,5
34103,DS-1600,0
34120,AE-0400,0
34181,BB-2500,12
34318,DE-1200,17
34327,ER-0400,0
34414,JW-6300,0
34497,BW-0300,0
34498,JD-3100,31
34531,SQ-0100,5
34585,DA-0100,0
34609,DR-2100,0
34734,RS-2900,0
34785,DP-1200,0
34924,DP-1200,3
35300,WT-0100,3
35305,EA-0400,50
35363,AG-0800,34
35369,WT-0100,3
35398,EA-0400,16
35521,JB-7900,0
35559,MM-5600,40
35645,DW-1400,0
35662,CS-1100,0
35756,MB-1400,30
35858,CW-3700,0
35867,IK-0100,0
35914,WW-0700,5
35981,DS-4000,30
35984,PT-0500,3
36021,JS-1900,45
36328,GD-0300,36
36403,LW-1500,0
36553,ML-2300,14
36714,CF-1500,0
37054,JB-7900,0
37193,DS-1600,47
37263,SK-0500,31
37317,AM-2400,0
37393,VG-0200,27
37496,SB-1000,0
37662,MM-4400,5
37765,PS-0700,0
37815,EM-0900,4
37840,RB-0700,9
37850,DM-1000,0
37927,DR-2100,0
37965,DM-1000,0
37996,JL-3400,2
38163,TB-3700,0
38260,TB-2200,7
38311,RP-1000,12
38494,EF-0100,0
38661,MC-2100,-1
38693,AG-0800,0
38705,DS-4000,21
38715,DS-4000,64
38740,CM-1200,98
38968,RM-3400,61
39147,JL-3400,5
39168,JD-3100,15
39249,RT-0200,12
39332,MP-1000,3
39400,JT-0900,2
39495,ZT-0100,0
39517,DB-2800,0
39555,DS-2600,41
39762,EA-0400,37
39887,CH-0500,12
39969,CE-0500,0
40009,RH-1100,63
40101,NC-0400,14
40104,RH-1100,15
40217,MC-0500,30
40223,AW-1300,48
40236,AW-1300,8
40240,DG-2500,2
40273,CB-0100,0
40343,RM-3300,4
40365,DW-0600,0
40377,BW-2800,0
40420,KB-2400,8
40506,CC-4500,0
40514,CB-2800,4
40525,CC-4500,23
40690,DB-6000,6
40703,SK-0500,52
40723,CO-0800,8
40778,SK-0500,4
40814,RL-0600,4
41078,DA-0100,0
41239,RT-0200,1
41260,KW-2400,1
41289,TJ-0800,90
41412,TJ-0800,8
41437,EA-0400,0
41512,JS-1700,32
41736,RL-0600,50
41785,RT-0200,4
41789,EM-0900,0
41795,DM-3700,1
41866,SG-0300,13
41897,JS-1700,0
41941,RB-0200,0
41969,DS-4000,9
41999,JH-2000,2
42033,DS-4000,35
42066,JS-1900,15
42138,JS-1900,4
42166,CM-1200,4
42180,KH-1700,2
42195,DS-4000,49
42383,RL-0600,21
42396,JT-3200,15
42417,SK-0500,21
42488,SK-0500,19
42498,SK-0500,0
42719,EL-0400,9
42811,RT-1200,5
42837,DM-1500,0
42889,DJ-0300,15
42892,DW-4600,0
42996,JL-3400,4
43080,DS-1600,11
43142,DS-1600,23
43227,HN-0400,2
43299,DD-0100,39
43307,EW-0300,51
43478,CW-3700,34
43527,RA-1000,0
43553,JH-4400,0
43575,TS-0600,2
43602,DG-2400,0
43695,MJ-2200,18
43734,MC-2100,36
43859,DB-2800,1
43907,TV-0200,0
43950,DM-2900,0
44001,RM-3300,12
44027,AM-2400,0
44032,FS-0400,0
44049,CB-0100,5
44253,SD-0900,0
44361,SM-0200,0
44409,BW-0300,0
44417,ZT-0100,34
44685,DE-1200,27
44874,OT-0100,0
44990,BS-2000,5
45053,AH-2000,22
45062,TS-2900,66
45168,PE-0200,19
45174,RB-0200,0
45180,AH-2700,5
45187,AH-2700,53
45202,TF-0100,26
45211,JM-4400,0
45217,EL-0400,0
45248,CF-1500,1
45260,AH-2700,0
45304,RM-3300,-1
45375,TC-1800,0
45418,RM-3300,33
45434,NC-0200,48
45486,CC-4500,12
45575,AW-1800,0
45778,RC-2600,8
45782,SW-1500,0
45817,EW-0300,0
45856,GC-0100,0
45973,DG-1000,9
46010,AD-1500,26
46112,AG-0800,0
46176,JF-0500,47
46245,MF-0400,30
46273,AP-1700,0
46582,DW-0600,20
46759,FS-0400,0
46763,NW-0200,18
46942,RB-4600,33
46953,DV-0200,0
46981,KB-2100,9
47131,CS-1100,62
47142,DE-1200,3
47178,DG-2400,8
47270,TW-2900,28
47289,CM-1800,17
47395,DS-4000,0
47451,CH-1800,1
47461,OR-0200,0
47478,AB-0900,0
47615,DM-1500,32
47625,DB-4200,2
47739,RB-0700,12
47767,EK-0200,2
47841,OS-0800,78
47862,RP-0800,14
47899,TL-0500,23
48064,SW-1500,5
48220,CC-4400,0
48314,RM-3300,8
48324,JS-1500,2
48439,RM-3300,0
48529,DB-2800,0
48588,LF-0300,0
48746,GW-0600,30
48873,AH-1000,14
49081,MB-4100,32
49130,BU-0200,10
49131,RB-4600,0
49132,TP-0400,26
49163,HC-0100,7
49353,RW-4100,0
49371,DS-4000,9
49392,MJ-2200,9
49515,AG-0800,0
49742,DO-0200,0
49761,MP-0600,0
49831,DO-0200,0
49850,DO-0200,42
49873,DO-0200,27
49885,MV-0400,15
50057,JB-2900,0
50107,EK-0200,-9
50272,SS-1000,0
50317,JS-1700,0
50329,IO-0100,12
50338,JS-1700,34
50516,KL-0500,25
50629,JT-3400,14
50712,CS-1100,26
50899,AB-1000,0
50999,DA-0100,13
51016,SQ-0100,98
51104,DJ-0300,0
51153,LS-0300,0
51208,DE-1200,39
51253,JW-1600,31
51282,AP-1700,0
51350,DB-2800,93
51380,DM-1000,0
51596,JW-1600,15
51661,CC-2400,3
51674,DE-1200,8
51855,DB-0900,7
51910,KL-0500,0
52189,MM-2700,0
52210,DS-1600,6
52373,CS-1100,61
52575,TL-1300,0
52934,MJ-2200,0
52940,VG-0200,0
52979,RT-1200,55
53061,SS-2600,0
53087,RT-1200,7
53193,SG-0300,5
53202,DM-1000,23
53272,GW-1700,-4
53302,DB-4200,10
53397,AD-1700,0
53522,AD-1500,39
53630,TJ-0800,0
53689,FS-0400,36
53853,KI-0100,0
53925,TT-1400,0
54053,KL-0500,22
54093,CC-1500,0
54136,RM-3400,43
54279,DR-3500,0
54313,AH-2700,22
54425,RR-0500,1
54484,CC-1800,6
54529,RG-1200,5
54809,KW-2400,27
54920,DG-1800,7
54949,CO-0800,0
55129,AW-1300,42
55256,RM-3300,0
55309,EB-1700,0
55361,AF-0800,0
55403,RB-0700,0
55491,RB-0700,10
55500,ML-2300,0
55571,DT-0400,0
55587,DE-1200,0
55595,KL-0100,14
55612,OL-0100,1
55658,LA-0600,67
55720,SW-1500,20
55869,CC-4500,9
55978,MP-1000,13
56007,IB-0100,0
56136,HN-0400,0
56260,DE-1200,49
56267,LT-0800,0
56300,MM-3400,30
56324,AG-0800,22
56402,AP-1700,0
56408,BU-0200,9
56446,ZB-0300,97
56518,MB-4100,33
56588,DH-2100,6
56620,DC-2400,10
56651,AW-1500,36
56705,EB-1700,0
56728,TB-3400,3
56745,MS-4700,9
56788,DW-0600,0
56801,DO-0200,0
56814,DW-0600,39
56820,DO-0200,31
56834,JS-4600,21
56878,RR-0500,8
56914,KS-0300,3
56977,DW-3400,16
57271,JP-2100,37
57312,WW-0700,0
57333,WW-0700,0
57532,KM-0500,23
57562,SK-0500,13
57586,DH-4100,37
57597,SK-0500,21
57724,DJ-0300,0
57954,KL-1700,0
58010,BA-0300,0
58105,KC-1100,3
58192,KL-0500,0
58275,DM-2900,2
58332,OS-0800,17
58616,EL-0400,0
58636,BB-2500,8
58710,RJ-0300,0
58780,MB-4100,16
58820,DA-0100,46
58865,JD-3100,9
58987,PS-1000,29
59053,JW-4300,0
59135,DC-2400,29
59172,ME-0400,71
59193,WP-0200,0
59207,JS-1700,0
59214,DJ-2600,14
59236,BS-1800,21
59377,BA-0300,4
59445,JW-6300,25
59529,TC-1800,3
59622,RB-0200,74
59707,TL-1300,0
59828,SR-1100,0
59949,CB-0100,0
59957,DT-0400,0
60050,WW-0700,24
60065,SS-1000,9
60104,AG-0800,0
60114,JB-2900,0
60138,ML-1800,17
60364,WT-0100,33
60373,TJ-0800,0
60477,KL-0500,13
60537,WA-0200,0
60677,KB-2100,8
60699,MB-4100,0
61086,JM-5300,17
61151,GC-0700,0
61157,DO-0200,0
61167,JS-5300,7
61224,RB-0700,1
61302,RB-0700,1
61374,MP-1000,5
61386,SM-0200,0
61425,DM-0100,3
61464,ZT-0100,17
61682,AB-1000,0
61715,AW-1800,0
61738,OS-0800,1
61834,TL-0500,22
61843,SB-2000,0
61897,VG-0200,13
61936,MC-2100,5
61968,EW-0300,0
62061,TV-0200,0
62334,MM-3400,2
62354,KH-1700,15
62358,DE-1200,0
62400,AW-1300,16
62409,DG-2400,31
62693,KB-2400,21
62707,DS-4000,0
62855,TL-1300,13
62951,FW-0200,20
62957,KL-0500,0
62985,KL-0500,12
63037,AH-2700,0
63047,DB-6000,43
63075,AH-2700,0
63092,AH-2700,0
63095,RW-4100,10
63107,MM-2300,1
63118,AP-2000,-3
63447,DE-1200,0
63481,BB-3600,28
63545,AH-2000,3
63592,SR-1100,0
63636,KB-2400,0
63727,DW-4600,5
63759,JT-3400,50
63819,WH-0100,33
63998,AA-1200,0
64053,RB-4600,7
64094,NW-0200,2
64116,BH-0500,4
64158,AA-1200,0
64183,AG-0800,60
64247,VG-0200,63
64266,DR-2100,28
64449,SK-0500,40
64549,RM-3300,3
64617,TJ-0800,23
64783,RB-0700,0
64838,RM-3400,4
64944,TP-0400,10
64962,DM-1000,0
64982,TB-3700,52
64986,TB-3400,4
65056,LF-0300,18
65189,WA-0200,17
65218,WA-0200,10
65260,EM-0800,0
65267,RG-2000,14
65342,DH-2100,22
65522,NW-0200,35
65657,BM-0200,23
65803,AA-1200,6
65938,JC-1500,0
65943,BB-2500,4
66011,CC-0800,10
66020,RJ-0300,52
66047,CF-1500,32
66052,MR-1600,0
66081,DM-1500,14
66090,DM-1500,16
66177,AP-1700,2
66185,JB-7900,13
66214,ZB-0300,48
66222,RH-2700,19
66247,AP-1700,7
66330,AB-0900,26
66680,AP-1600,0
66755,LM-1300,0
67084,GD-0300,6
67154,JP-2100,0
67364,CS-1100,45
67378,ML-2300,2
67398,RC-1900,8
67687,BY-0300,25
67692,DA-0100,6
67698,JL-3400,15
67727,GW-0600,14
67843,AH-1000,8
67860,DB-2800,56
68065,JB-7900,30
68182,RW-4100,47
68270,BW-1100,0
68474,DA-0100,15
68644,MB-2900,0
68811,KM-2400,56
68980,JH-4400,35
69011,FT-0200,0
69094,MV-0400,12
69153,TB-3700,0
69188,KL-0500,0
69275,TK-0700,43
69375,RG-2000,11
69455,BA-0300,13
69468,BA-0300,22
69518,WW-0700,0
69620,MR-1300,5
69754,FS-0400,0
69797,IR-0300,42
69863,AP-1700,12
69928,LS-0300,0
69941,AP-1700,24
69967,JW-5500,11
70063,KT-0200,9
70112,TW-2900,14
70228,LA-0600,43
70386,JB-2900,21
70523,RH-3100,16
70581,BS-3300,44
70685,AB-1000,0
70703,KK-0100,29
70928,DW-4600,6
71008,BU-0200,41
71052,DS-1600,14
71225,AD-1700,0
71257,TJ-2500,-4
71285,CF-1500,49
71325,TB-3700,24
71339,EL-0400,9
71388,AP-1600,0
71539,JW-6300,0
71562,TS-2400,9
71617,BT-0500,5
71705,RH-1100,22
71725,TV-0200,0
71917,AW-1300,11
72006,ZB-0300,20
72041,AW-1300,0
72118,TF-0100,3
72179,KS-0300,19
72301,CM-1800,0
72325,MR-1300,25
72343,JS-5300,0
72443,BM-0200,37
72456,JT-0900,4
72521,BM-0200,41
72801,DR-3600,0
72815,WT-0100,2
72835,RH-1100,16
72845,WT-0100,11
72906,CW-0900,23
72970,LM-1300,21
73079,TP-0400,0
73096,DA-0100,18
73198,RM-3400,0
73229,JC-5500,4
73282,AH-2700,0
73308,AH-2700,97
73384,TL-1300,59
73418,CC-1800,5
73650,AA-1200,27
73856,JS-5300,18
73950,JH-3300,5
74013,DR-2100,30
74023,JF-0500,37
74032,ZB-0300,0
74149,JW-1600,16
74164,ZB-0300,0
74308,IC-0100,38
74397,ER-0300,0
74501,DW-2800,0
74554,LA-0600,10
74610,BD-0700,15
74630,DG-2500,0
74641,BD-0700,0
74715,CS-1100,10
74899,GW-1700,0
74961,DB-2800,0
75183,TJ-0800,16
75186,ER-0300,13
75264,EA-0400,19
75431,DS-2900,0
75505,RM-3000,24
75543,KL-0500,8
75676,BS-3300,7
75697,NC-0200,0
75842,DS-4000,0
75863,RL-0600,30
75940,RL-0600,64
75965,JH-4400,30
76050,DM-3500,10
76149,BJ-2500,35
76209,TW-2900,69
76246,TW-2900,6
76316,RB-1700,8
76410,RM-3300,0
76589,MM-2400,10
76756,DT-0700,3
76803,DW-1400,15
76923,RB-0700,15
76990,DJ-0300,29
76997,RB-0700,5
77073,RB-0700,36
77306,NH-0300,3
77354,NH-0300,14
77423,RB-0700,6
77491,DB-4200,53
77644,DB-0900,23
77876,JG-1300,0
77879,KK-0100,12
77905,AH-2000,1
77913,JS-4600,7
77939,KK-0100,0
78247,DO-0200,15
78280,KK-0400,6
78399,MB-4100,0
78412,WH-0800,0
78438,WH-0200,39
78526,DS-1600,15
78564,BH-0500,8
78591,MM-2700,38
78687,JC-5500,0
78746,HN-0400,2
78749,JW-6300,23
78791,RB-4600,29
78816,BM-0200,26
78878,PS-1000,4
78911,PS-1000,41
78984,NC-0200,0
79082,PH-0100,17
79168,WA-0200,0
79352,IC-0100,5
79391,KL-1500,0
79538,DM-0100,11
79566,DB-2800,0
79633,EL-0400,15
79702,AD-1700,36
79765,KM-0500,11
79811,CB-0100,12
79821,FS-0400,0
79834,DW-2800,0
79913,TL-0500,46
79916,OS-0800,9
79971,DG-2400,14
80008,DG-2400,43
80043,OS-0800,76
80132,JA-3100,14
80151,KT-0800,67
80176,RC-1900,14
80362,MC-0600,0
80378,JB-7900,26
80386,RW-0700,0
80423,DO-0200,0
80444,RP-1000,18
80531,DM-0100,1
80542,AF-1400,0
80653,SG-0200,0
80690,BM-0200,100
80732,ZB-0300,0
80751,ZB-0300,0
80774,LS-0300,0
80810,JW-5500,29
80849,DS-1600,9
80964,BJ-2500,0
81083,TJ-0800,33
81123,MP-1600,22
81196,RJ-0300,0
81225,DB-6000,19
81265,AH-2700,0
81290,DT-1900,7
81300,DT-1900,0
81359,MP-0600,5
81380,IK-0100,22
81454,EW-0300,10
81490,AA-1200,0
81493,DM-1000,43
81529,RB-4600,16
81612,CW-2100,1
81683,SR-1100,3
81783,GF-0200,0
81819,AW-1500,61
81935,AP-1200,0
81984,JL-3400,2
82002,RC-2000,18
82071,DA-0100,0
82173,CM-1200,0
82237,CH-1800,0
82420,DJ-0300,9
82498,DM-2900,0
82521,TV-0200,0
82555,BD-0700,0
82562,DM-2900,59
82600,AP-1700,4
82695,TW-2900,0
82833,DS-4000,26
82891,DM-2900,18
82934,JA-3100,39
82993,RC-2000,15
83006,CE-0500,0
83054,JH-2000,5
83195,CS-1100,19
83223,CM-1200,18
83226,BA-0300,0
83342,BA-0300,32
83369,AW-1300,29
83380,DS-1600,0
83398,KH-1700,45
83455,TP-1700,34
83486,TP-1700,1
83491,AW-1300,32
83503,DM-1000,20
83603,TB-3700,0
83681,TJ-2500,19
83687,LM-1300,11
83844,AW-1300,0
83901,TL-0500,47
83956,OS-0800,30
84016,TP-0400,6
84057,JP-2500,2
84058,WA-0200,0
84132,ZB-0300,20
84192,AB-1000,24
84214,DA-0100,13
84483,DM-3500,22
84571,WO-0100,6
84594,RA-1400,0
84632,MB-4100,16
84672,AM-2400,0
84797,DM-1500,24
85015,KW-0600,-2
85035,AW-1300,3
85049,DD-0500,29
85344,MW-0800,40
85530,BM-0200,28
85736,WW-0700,2
85878,DB-4200,23
85960,JA-0700,0
86052,LS-0300,8
86074,SB-0200,1
86075,AD-1700,2
86154,BT-0100,17
86289,CB-0100,2
86343,AG-0800,0
86432,LG-0300,7
86462,TB-3700,6
