PID,FGXP,FKICKER,DIST,GOOD
3958,XP,RC-2900,20,Y
3974,XP,RC-2900,20,Y
3998,XP,WR-0500,20,Y
4007,XP,RC-2900,20,Y
4015,FG,RC-2900,24,Y
4037,XP,WR-0500,20,Y
4098,FG,KH-1500,19,Y
4109,FG,JW-3300,48,Y
4127,XP,KH-1500,20,Y
4136,FG,JW-3300,48,Y
4154,XP,JW-3300,20,Y
4170,XP,KH-1500,20,Y
4181,XP,JW-3300,20,Y
4190,FG,KH-1500,43,Y
4199,XP,JW-3300,20,Y
4209,XP,KH-1500,20,Y
4217,XP,JW-3300,20,Y
4227,XP,KH-1500,20,Y
4236,FG,JW-3300,27,Y
4267,FG,MG-1200,50,N
4287,FG,MG-1200,23,Y
4303,FG,MG-1200,47,Y
4310,XP,MG-1200,20,Y
4315,XP,MG-1200,20,Y
4337,XP,MG-1200,20,Y
4344,XP,MG-1200,20,Y
4373,XP,MG-1200,20,Y
4382,FG,PE-0100,42,N
4462,XP,AD-0800,20,Y
4471,XP,PS-0900,20,Y
4493,FG,PS-0900,36,N
4506,XP,PS-0900,20,Y
4546,XP,AD-0800,20,Y
4563,FG,AD-0800,36,Y
4575,FG,CB-1700,19,Y
4586,XP,TS-1100,20,Y
4604,XP,CB-1700,20,Y
4611,XP,TS-1100,20,Y
4629,XP,TS-1100,20,Y
4635,FG,CB-1700,54,Y
4649,FG,TS-1100,44,Y
4662,XP,CB-1700,20,Y
4668,FG,CB-1700,35,Y
4682,XP,TS-1100,20,Y
4692,FG,CB-1700,51,Y
4726,FG,AV-0400,32,Y
4740,XP,JH-0500,20,Y
4754,FG,AV-0400,35,Y
4760,FG,AV-0400,30,Y
4786,FG,AV-0400,33,Y
4818,FG,AV-0400,29,N
4852,XP,AV-0400,20,Y
4864,XP,JH-0500,20,Y
4900,FG,MA-0700,31,Y
4910,FG,RC-2900,25,N
4919,FG,MA-0700,50,N
4930,XP,MA-0700,20,Y
4945,FG,RC-2900,33,Y
4960,XP,RC-2900,20,Y
4976,FG,MA-0700,47,N
5025,FG,MA-0700,27,Y
5047,XP,BD-0100,20,Y
5073,FG,PE-0100,49,N
5084,FG,BD-0100,34,N
5098,FG,BD-0100,41,N
5111,XP,PE-0100,20,Y
5140,XP,BD-0100,20,Y
5188,FG,BD-0100,31,N
5202,XP,PD-0200,20,Y
5217,XP,PD-0200,20,Y
5231,XP,KB-2300,20,Y
5262,FG,KB-2300,41,Y
5274,FG,KB-2300,31,Y
5282,FG,PD-0200,23,Y
5292,XP,KB-2300,20,Y
5316,FG,PD-0200,28,Y
5336,FG,PD-0200,19,Y
5353,FG,JH-0900,38,Y
5372,XP,MG-1200,20,Y
5387,XP,MG-1200,20,Y
5396,FG,JH-0900,34,N
5419,XP,MG-1200,20,Y
5432,FG,MG-1200,38,N
5435,XP,JH-0900,20,Y
5458,FG,MG-1200,24,Y
5489,XP,MG-1200,20,Y
5569,FG,DA-0300,43,Y
5587,FG,RL-1300,40,N
5610,FG,RL-1300,37,Y
5664,FG,RL-1300,38,Y
5684,XP,SL-0600,20,Y
5689,FG,SL-0600,30,Y
5718,FG,NR-0100,44,N
5747,FG,NR-0100,47,N
5771,FG,SL-0600,33,N
5826,FG,SL-0600,19,Y
5852,XP,JC-0900,20,Y
5879,FG,JC-0900,54,Y
5895,XP,PS-0900,20,Y
5921,XP,PS-0900,20,Y
5938,FG,JC-0900,51,N
5946,XP,PS-0900,20,Y
5955,XP,PS-0900,20,Y
5973,XP,PS-0900,20,Y
5996,XP,PS-0900,20,Y
6023,XP,GA-0300,20,Y
6031,XP,AV-0400,20,Y
6052,XP,GA-0300,20,Y
6065,XP,GA-0300,20,Y
6075,FG,AV-0400,44,N
6191,XP,SC-0700,20,Y
6193,XP,JH-0500,20,Y
6225,XP,JH-0500,20,Y
6246,XP,SC-0700,20,Y
6255,XP,JH-0500,20,Y
6266,FG,SC-0700,43,N
6273,FG,JH-0500,51,Y
6307,FG,JH-0500,33,N
6323,FG,JH-0500,27,Y
6348,XP,JN-0600,20,Y
6351,XP,JN-0600,20,Y
6358,FG,JN-0600,24,Y
6368,XP,SJ-0300,20,Y
6377,XP,JN-0600,20,Y
6385,FG,SJ-0300,19,Y
6392,XP,SJ-0300,20,Y
6398,XP,SJ-0300,20,Y
6440,FG,JN-0600,32,Y
6455,FG,JN-0600,22,Y
6465,FG,SJ-0300,49,N
6473,FG,JN-0600,21,Y
6500,XP,KH-1500,20,Y
6518,XP,DB-3900,20,Y
6532,FG,KH-1500,37,N
6545,FG,DB-3900,23,Y
6568,FG,KH-1500,31,Y
6597,XP,KH-1500,20,Y
6610,FG,KH-1500,45,Y
6631,XP,WR-0500,20,Y
6639,FG,JW-3300,47,Y
6672,FG,WR-0500,21,Y
