PID,FGXP,FKICKER,DIST,GOOD
158798,XP,AE-0700,20,Y
158810,XP,JW-3300,20,Y
158825,FG,AE-0700,28,Y
158837,XP,AE-0700,20,Y
158842,FG,JW-3300,51,Y
158866,XP,JW-3300,20,Y
158873,XP,JW-3300,20,Y
158887,XP,JW-3300,20,Y
158900,XP,JW-3300,20,Y
158938,FG,JC-0900,51,N
158967,XP,JC-0900,20,Y
158994,XP,JH-0500,20,Y
159000,FG,JC-0900,25,Y
159002,XP,JH-0500,20,Y
159031,FG,JC-0900,48,N
159040,FG,JH-0500,45,Y
159054,XP,JC-0900,20,Y
159062,FG,JH-0500,49,Y
159070,XP,JC-0900,20,Y
159121,FG,SM-0600,46,N
159133,XP,SM-0600,20,Y
159146,XP,MG-1200,20,Y
159155,FG,MG-1200,47,Y
159168,FG,SM-0600,28,Y
159199,FG,SM-0600,41,N
159211,FG,MG-1200,45,N
159226,XP,SM-0600,20,Y
159263,XP,GA-0300,20,Y
159277,XP,DB-3900,20,Y
159315,FG,CH-2900,52,N
159323,FG,DB-3900,27,Y
159341,FG,GA-0300,35,Y
159348,XP,DB-3900,20,Y
159364,XP,DB-3900,20,Y
159394,XP,GA-0300,20,Y
159417,FG,SG-1100,25,Y
159431,XP,MS-5200,20,Y
159446,XP,MS-5200,20,Y
159468,XP,SG-1100,20,Y
159476,FG,MS-5200,22,Y
159495,FG,SG-1100,38,Y
159511,XP,MS-5200,20,Y
159533,XP,MS-5200,20,Y
159578,FG,DB-3900,38,Y
159594,XP,RL-0900,20,Y
159632,FG,DB-3900,50,N
159651,XP,RL-0900,20,Y
159661,FG,DB-3900,40,Y
159673,FG,RL-0900,32,Y
159717,XP,JE-0200,20,Y
159732,XP,MA-0700,20,Y
159745,XP,JE-0200,20,Y
159754,XP,MA-0700,20,Y
159761,FG,JE-0200,47,Y
159774,XP,MA-0700,20,Y
159803,XP,JE-0200,20,Y
159814,XP,JE-0200,20,Y
159830,XP,JE-0200,20,Y
159841,XP,JE-0200,20,Y
159893,XP,SC-0700,20,Y
159933,XP,SC-0700,20,Y
159997,XP,JH-0900,20,Y
160062,XP,PE-0100,20,Y
160067,XP,PE-0100,20,Y
160079,FG,RL-1300,24,Y
160084,FG,RL-1300,38,Y
160102,XP,RL-1300,20,Y
160136,FG,RL-1300,35,Y
160152,FG,RL-1300,45,Y
160192,XP,RL-1300,20,Y
160194,XP,PE-0100,20,Y
160229,XP,SM-0600,20,Y
160277,FG,SM-0600,35,Y
160294,XP,SM-0600,20,Y
160315,FG,SM-0600,41,N
160340,XP,SM-0600,20,Y
160359,FG,SM-0600,28,Y
160385,FG,AE-0700,40,N
160408,FG,JB-7100,52,N
160412,XP,AE-0700,20,Y
160432,FG,AE-0700,36,Y
160448,FG,AE-0700,35,Y
160456,XP,JB-7100,20,Y
160465,XP,AE-0700,20,Y
160474,FG,JB-7100,49,N
160495,XP,AE-0700,20,Y
160530,XP,AE-0700,20,Y
160562,FG,AV-0400,29,Y
160614,FG,AV-0400,54,N
160670,XP,AV-0400,20,Y
160727,XP,JC-0900,20,Y
160766,XP,MG-1200,20,Y
160773,XP,MG-1200,20,Y
160796,FG,JC-0900,49,N
160806,FG,MG-1200,44,N
160844,FG,MG-1200,35,N
160861,FG,JH-0500,28,Y
160873,FG,MB-4600,26,N
160885,XP,MB-4600,20,Y
160894,XP,JH-0500,20,Y
160908,FG,JH-0500,34,N
160948,XP,JH-0500,20,Y
160984,FG,JH-0500,41,Y
161032,FG,BC-3000,29,Y
161042,FG,DA-0300,22,Y
161068,XP,DA-0300,20,Y
161077,XP,BC-3000,20,Y
161092,XP,DA-0300,20,Y
161130,XP,DA-0300,20,Y
161145,FG,DA-0300,21,Y
161162,XP,DA-0300,20,Y
161193,FG,JR-1100,47,N
161201,XP,SJ-0300,20,Y
161209,FG,JR-1100,44,Y
161233,XP,JR-1100,20,Y
161242,XP,JR-1100,20,Y
161256,FG,JR-1100,48,N
161281,XP,JR-1100,20,Y
161295,FG,JR-1100,40,Y
161332,XP,TP-1200,20,Y
161362,XP,TP-1200,20,Y
161373,XP,TP-1200,20,Y
161385,XP,TP-1200,20,N
161409,XP,TP-1200,20,Y
161441,XP,NR-0100,20,Y
161448,XP,TP-1200,20,Y
161458,XP,TP-1200,20,Y
161488,XP,NR-0100,20,Y
161503,FG,GA-0300,40,Y
161513,FG,MV-0100,21,Y
161524,XP,GA-0300,20,Y
161547,FG,MV-0100,35,Y
161565,FG,MV-0100,36,Y
161575,FG,MV-0100,23,Y
161588,XP,MV-0100,20,Y
161593,FG,MV-0100,26,Y
161605,FG,GA-0300,40,Y
161611,XP,MV-0100,20,Y
161707,XP,JF-0900,20,Y
161722,FG,JF-0900,36,N
161732,XP,JK-0200,20,Y
161742,FG,JF-0900,34,N
161771,XP,JK-0200,20,Y
161798,XP,JF-0900,20,Y
161849,FG,JW-3300,28,Y
161858,XP,PD-0200,20,Y
161886,FG,JW-3300,26,Y
161900,FG,JW-3300,29,Y
161907,XP,JW-3300,20,Y
161913,XP,JW-3300,20,Y
161942,FG,JW-3300,37,Y
161962,XP,PD-0200,20,Y
161975,FG,JW-3300,39,N
162003,XP,JK-0200,20,Y
162027,XP,NR-0100,20,Y
162048,XP,NR-0100,20,Y
162083,FG,JK-0200,21,Y
162103,XP,JK-0200,20,Y
162113,FG,NR-0100,35,N
162132,FG,NR-0100,44,Y
162143,FG,JK-0200,49,Y
162153,FG,PE-0100,38,Y
162190,XP,PE-0100,20,Y
162211,FG,AE-0700,22,Y
162248,FG,PE-0100,22,Y
162263,FG,PE-0100,46,N
162272,XP,AE-0700,20,Y
162324,XP,SG-1100,20,Y
162344,XP,SG-1100,20,Y
162349,XP,TP-1200,20,Y
162360,XP,TP-1200,20,Y
162370,XP,SG-1100,20,Y
162382,FG,TP-1200,23,Y
162391,XP,SG-1100,20,Y
162410,FG,SG-1100,34,Y
162421,XP,TP-1200,20,Y
162432,FG,SG-1100,30,Y
162442,XP,TP-1200,20,Y
162450,XP,SG-1100,20,Y
162460,XP,TP-1200,20,Y
162477,XP,JE-0200,20,Y
162485,FG,BC-2300,38,N
162498,FG,JE-0200,51,Y
162520,FG,BC-2300,39,Y
162542,XP,BC-2300,20,Y
162582,XP,JE-0200,20,Y
162592,XP,BC-2300,20,Y
162611,FG,BC-2300,48,Y
162617,FG,JE-0200,36,Y
162632,FG,JE-0200,25,Y
162639,XP,MV-0100,20,Y
162668,XP,MV-0100,20,Y
162685,FG,MV-0100,43,Y
162704,XP,MV-0100,20,Y
162724,XP,MV-0100,20,Y
162745,XP,JF-0900,20,Y
162753,XP,MV-0100,20,Y
162808,XP,MA-0700,20,Y
162819,XP,MA-0700,20,Y
162835,XP,MA-0700,20,Y
162852,FG,JH-0900,29,Y
162858,XP,MA-0700,20,Y
162871,XP,JH-0900,20,Y
162875,FG,MA-0700,48,N
162887,XP,MA-0700,20,Y
162895,FG,MA-0700,35,Y
162903,XP,JH-0900,20,Y
162911,XP,MA-0700,20,Y
162958,XP,AV-0400,20,Y
162965,FG,SM-0600,24,Y
162981,FG,AV-0400,22,Y
162995,FG,SM-0600,23,Y
163010,FG,AV-0400,31,Y
163017,FG,SM-0600,34,N
163070,XP,AV-0400,20,Y
163091,XP,AV-0400,20,Y
163098,XP,SM-0600,20,Y
163122,FG,DB-3900,28,Y
163135,FG,JR-1100,43,N
163178,FG,DB-3900,41,Y
163229,FG,JR-1100,20,N
163265,XP,SJ-0300,20,Y
163278,FG,MS-5200,32,Y
163283,FG,SJ-0300,37,Y
163306,FG,MS-5200,28,Y
163341,XP,SJ-0300,20,Y
163349,FG,MS-5200,50,N
163411,FG,SJ-0300,23,Y
163442,XP,RL-1300,20,Y
163454,FG,SC-0700,20,Y
163485,FG,RL-1300,32,Y
163516,XP,RL-1300,20,Y
163530,FG,SC-0700,26,Y
163563,XP,SC-0700,20,Y
163567,XP,RL-1300,20,Y
163579,XP,RL-1300,20,Y
163594,XP,RL-1300,20,Y
163643,XP,JW-3300,20,Y
163650,XP,JW-3300,20,Y
163672,XP,JB-7100,20,Y
163681,XP,JW-3300,20,Y
163701,FG,JB-7100,31,Y
163727,FG,JB-7100,38,Y
163740,FG,JW-3300,33,Y
163749,XP,JB-7100,20,Y
163772,FG,JW-3300,46,Y
163798,XP,MG-1200,20,Y
163825,FG,MG-1200,36,Y
163851,FG,MG-1200,23,Y
163870,FG,KB-2300,38,Y
163877,FG,MG-1200,26,Y
163893,FG,MG-1200,41,N
163953,FG,GA-0300,29,Y
163970,FG,GA-0300,39,Y
163978,FG,RL-0900,27,Y
163999,XP,RL-0900,20,Y
164009,FG,GA-0300,41,N
164014,XP,RL-0900,20,Y
164046,XP,GA-0300,20,Y
164065,FG,RL-0900,32,Y
164073,XP,GA-0300,20,Y
164110,XP,BC-3000,20,Y
164172,XP,BC-3000,20,Y
164179,FG,BC-3000,50,N
164205,FG,BC-3000,34,Y
164229,FG,BC-3000,20,Y
164244,XP,BC-3000,20,Y
164263,XP,JC-0900,20,Y
164277,FG,JC-0900,35,Y
164304,XP,MB-4600,20,Y
164319,XP,JC-0900,20,Y
164325,FG,MB-4600,43,N
164326,XP,JC-0900,20,Y
164342,FG,JC-0900,49,N
164360,XP,JC-0900,20,Y
164363,XP,JC-0900,20,Y
164382,XP,JC-0900,20,Y
164419,XP,DA-0300,20,Y
164439,XP,OM-0100,20,Y
164449,XP,DA-0300,20,Y
164456,XP,OM-0100,20,Y
164465,XP,DA-0300,20,Y
164486,FG,DA-0300,46,Y
164498,FG,OM-0100,27,Y
164512,XP,OM-0100,20,Y
164541,XP,DA-0300,20,Y
164570,FG,DA-0300,42,Y
164579,FG,OM-0100,50,Y
164591,XP,AE-0700,20,Y
164625,XP,AE-0700,20,Y
164643,XP,AE-0700,20,Y
164656,FG,AE-0700,46,Y
164668,XP,AE-0700,20,Y
164685,XP,MA-0700,20,Y
164718,XP,MA-0700,20,Y
164725,XP,AE-0700,20,Y
164730,XP,AE-0700,20,Y
164752,XP,AV-0400,20,Y
164771,XP,DB-3900,20,Y
164790,XP,AV-0400,20,Y
164828,FG,DB-3900,29,Y
164838,XP,AV-0400,20,Y
164915,FG,JF-0900,26,Y
164935,XP,JF-0900,20,Y
164958,XP,MG-1200,20,Y
164972,XP,JF-0900,20,Y
164978,XP,JF-0900,20,Y
164985,FG,JF-0900,38,Y
165010,FG,JF-0900,37,Y
165028,XP,MG-1200,20,Y
165072,XP,OM-0100,20,Y
165099,FG,OM-0100,28,Y
165116,FG,OM-0100,30,Y
165151,FG,RL-0900,23,Y
165162,XP,OM-0100,20,Y
165232,XP,JK-0200,20,Y
165272,XP,JK-0200,20,Y
165287,FG,JK-0200,42,Y
165309,FG,JK-0200,44,Y
165337,XP,JH-0900,20,Y
165356,XP,JH-0900,20,Y
165386,FG,JH-0500,27,Y
165389,XP,PE-0100,20,Y
165406,FG,PE-0100,19,Y
165412,XP,JH-0500,20,Y
165429,FG,PE-0100,30,N
165439,FG,JH-0500,31,N
165451,XP,JH-0500,20,Y
165469,XP,PE-0100,20,Y
165487,XP,PE-0100,20,Y
165494,XP,JH-0500,20,Y
165504,FG,PE-0100,33,N
165524,FG,PE-0100,45,Y
165582,XP,MS-5200,20,Y
165599,FG,BC-2300,37,N
165622,XP,MS-5200,20,Y
165640,FG,MS-5200,46,N
165653,XP,MS-5200,20,Y
165659,XP,MS-5200,20,Y
165681,XP,MS-5200,20,Y
165694,FG,BC-3000,24,Y
165704,FG,MB-4600,45,Y
165720,XP,BC-3000,20,Y
165763,FG,BC-3000,42,Y
165774,FG,BC-3000,21,Y
165804,FG,BC-3000,49,Y
165887,FG,KB-2300,49,Y
165905,XP,GA-0300,20,Y
165919,FG,GA-0300,41,Y
165932,XP,KB-2300,20,Y
165944,XP,GA-0300,20,Y
165952,XP,KB-2300,20,Y
165964,FG,GA-0300,26,Y
165989,XP,KB-2300,20,Y
165999,XP,GA-0300,20,Y
166025,FG,JC-0900,33,Y
166038,FG,SM-0600,43,Y
166057,XP,SM-0600,20,Y
166070,XP,JC-0900,20,Y
166080,XP,SM-0600,20,Y
166108,FG,JC-0900,38,Y
166116,FG,SM-0600,35,Y
166131,FG,SM-0600,21,N
166162,XP,JC-0900,20,N
166186,XP,TP-1200,20,Y
166203,XP,DA-0300,20,Y
166225,XP,DA-0300,20,Y
166242,XP,TP-1200,20,Y
166257,XP,DA-0300,20,Y
166270,FG,TP-1200,33,Y
166276,FG,DA-0300,42,N
166286,FG,TP-1200,25,Y
166296,FG,DA-0300,47,N
166319,XP,DA-0300,20,Y
166327,FG,TP-1200,22,Y
166341,XP,JR-1100,20,Y
166359,XP,JR-1100,20,Y
166369,XP,JR-1100,20,Y
166384,XP,SC-0700,20,Y
166408,FG,SC-0700,31,Y
166417,XP,SC-0700,20,Y
166428,XP,JR-1100,20,Y
166447,FG,JR-1100,47,Y
166457,XP,SC-0700,20,Y
166467,FG,JR-1100,40,Y
166471,XP,JR-1100,20,N
166505,XP,JB-7100,20,Y
166527,XP,JB-7100,20,Y
166536,FG,NR-0100,49,Y
166542,XP,JB-7100,20,Y
166562,FG,NR-0100,38,N
166574,FG,NR-0100,33,N
166620,XP,NR-0100,20,Y
166644,XP,JB-7100,20,Y
166685,XP,JW-3300,20,Y
166707,XP,SG-1100,20,Y
166717,FG,JW-3300,26,Y
166733,XP,JW-3300,20,Y
166739,FG,SG-1100,48,Y
166767,FG,JW-3300,50,Y
166780,XP,JW-3300,20,Y
166815,XP,MV-0100,20,Y
166823,XP,JE-0200,20,Y
166839,XP,JE-0200,20,Y
166848,XP,MV-0100,20,Y
166864,XP,JE-0200,20,Y
166878,XP,JE-0200,20,Y
166888,FG,MV-0100,40,Y
166943,FG,JE-0200,24,Y
166970,XP,RL-1300,20,Y
166983,XP,RL-1300,20,Y
166991,XP,SJ-0300,20,Y
167003,FG,RL-1300,31,Y
167016,XP,RL-1300,20,Y
167035,XP,RL-1300,20,Y
167050,FG,RL-1300,27,Y
167103,XP,RL-1300,20,Y
167134,XP,AV-0400,20,Y
167147,XP,AV-0400,20,Y
167171,XP,AV-0400,20,Y
167188,FG,RL-0900,40,N
167199,XP,AV-0400,20,Y
167229,FG,AV-0400,24,N
167257,FG,AV-0400,24,Y
167334,FG,JB-7100,49,N
167343,XP,TP-1200,20,Y
167350,XP,TP-1200,20,Y
167358,XP,JB-7100,20,Y
167373,XP,JB-7100,20,Y
167381,FG,TP-1200,29,N
167394,FG,TP-1200,38,Y
167412,XP,JB-7100,20,Y
167453,FG,JB-7100,33,Y
167473,FG,JH-0500,52,N
167482,XP,DA-0300,20,Y
167504,XP,DA-0300,20,Y
167512,XP,DA-0300,20,Y
167526,XP,JH-0500,20,Y
167552,XP,DA-0300,20,Y
167603,FG,DA-0300,26,Y
167638,FG,NR-0100,22,Y
167653,FG,AE-0700,44,N
167680,FG,NR-0100,26,Y
167702,XP,AE-0700,20,Y
167730,XP,AE-0700,20,Y
167737,FG,AE-0700,46,Y
167780,XP,JF-0900,20,Y
167791,XP,SM-0600,20,Y
167800,XP,JF-0900,20,Y
167842,XP,JF-0900,20,Y
167870,XP,SM-0600,20,Y
167891,FG,SM-0600,30,N
167930,XP,SG-1100,20,Y
167941,FG,BC-2300,42,Y
167976,FG,BC-2300,42,Y
167987,XP,BC-2300,20,Y
168018,FG,SG-1100,52,N
168045,XP,SG-1100,20,Y
168073,FG,BC-2300,18,Y
168104,FG,JH-0900,39,Y
168114,XP,JW-3300,20,Y
168122,XP,JH-0900,20,Y
168137,FG,JW-3300,51,Y
168145,XP,JW-3300,20,Y
168158,FG,JW-3300,36,Y
168172,XP,JH-0900,20,Y
168187,XP,JH-0900,20,Y
168195,FG,JH-0900,38,Y
168206,FG,JH-0900,50,Y
168257,XP,RL-1300,20,Y
168302,FG,RL-1300,33,Y
168320,FG,RL-1300,40,N
168350,FG,JE-0200,31,Y
168356,XP,RL-1300,20,Y
168366,XP,RL-1300,20,Y
168438,FG,MV-0100,39,Y
168449,XP,KB-2300,20,Y
168459,FG,KB-2300,36,Y
168478,XP,KB-2300,20,Y
168505,XP,MV-0100,20,Y
168534,XP,MV-0100,20,Y
168551,FG,MV-0100,43,Y
168589,XP,MA-0700,20,Y
168595,FG,PE-0100,52,N
168604,XP,MA-0700,20,Y
168645,FG,PE-0100,48,Y
168667,XP,MA-0700,20,Y
168684,FG,MA-0700,38,Y
168700,XP,MA-0700,20,Y
168733,FG,OM-0100,23,Y
168749,FG,OM-0100,43,Y
168761,XP,OM-0100,20,Y
168770,XP,DB-3900,20,Y
168777,XP,OM-0100,20,Y
168792,FG,DB-3900,36,Y
168808,FG,DB-3900,22,Y
168819,FG,OM-0100,53,N
168864,FG,OM-0100,22,Y
168882,FG,JC-0900,24,Y
168913,XP,BC-3000,20,Y
168917,XP,JC-0900,20,Y
168953,FG,JC-0900,27,Y
169047,XP,JK-0200,20,Y
169063,FG,JK-0200,42,Y
169068,XP,JK-0200,20,Y
169077,FG,JK-0200,33,Y
169090,FG,MB-4600,28,Y
169098,XP,MB-4600,20,Y
169110,XP,JK-0200,20,Y
169129,FG,JK-0200,34,Y
169143,XP,MB-4600,20,Y
169157,XP,JK-0200,20,Y
169174,XP,MB-4600,20,Y
169228,XP,SC-0700,20,Y
169274,XP,SJ-0300,20,Y
169291,XP,SC-0700,20,Y
169294,XP,SJ-0300,20,Y
169339,XP,SC-0700,20,Y
169390,FG,GA-0300,37,Y
169402,FG,MG-1200,27,Y
169440,XP,GA-0300,20,Y
169450,FG,GA-0300,33,Y
169463,FG,GA-0300,43,Y
169475,FG,GA-0300,23,Y
169483,FG,MG-1200,33,Y
169490,XP,GA-0300,20,Y
169502,XP,MG-1200,20,Y
169529,XP,GA-0300,20,Y
169554,XP,MS-5200,20,Y
169625,XP,JR-1100,20,Y
169640,FG,JR-1100,42,Y
169648,FG,MS-5200,46,Y
169682,FG,MS-5200,52,N
169687,FG,WR-0500,51,N
169698,FG,MS-5200,47,Y
169714,XP,GA-0300,20,Y
169722,XP,MS-5200,20,Y
169761,FG,MS-5200,43,Y
169788,XP,GA-0300,20,Y
169821,FG,GA-0300,45,Y
169833,XP,MS-5200,20,Y
169849,FG,GA-0300,46,Y
169868,FG,JK-0200,18,Y
169890,FG,JK-0200,38,Y
169915,XP,JK-0200,20,Y
169926,FG,BC-3000,37,Y
169934,FG,JK-0200,19,Y
169949,XP,JK-0200,20,Y
169976,FG,JK-0200,32,Y
169987,XP,BC-3000,20,Y
169998,FG,JK-0200,34,Y
170027,FG,JB-7100,30,Y
170056,FG,RL-1300,31,Y
170065,FG,JB-7100,35,Y
170072,XP,RL-1300,20,Y
170084,FG,RL-1300,27,Y
170103,XP,JB-7100,20,Y
170122,XP,JB-7100,20,Y
170136,XP,RL-1300,20,Y
170155,XP,RL-1300,20,Y
170165,XP,JB-7100,20,Y
170172,FG,RL-1300,47,N
170195,XP,MV-0100,20,Y
170209,FG,JE-0200,49,Y
170219,XP,MV-0100,20,Y
170238,XP,MV-0100,20,Y
170253,XP,MV-0100,20,Y
170266,FG,MV-0100,27,Y
170274,FG,JE-0200,46,N
170287,XP,MV-0100,20,Y
170296,FG,MV-0100,20,Y
170316,XP,JE-0200,20,Y
170342,XP,AV-0400,20,Y
170351,XP,GA-0300,20,Y
170363,FG,AV-0400,44,N
170376,XP,AV-0400,20,Y
170403,FG,GA-0300,31,N
170433,XP,GA-0300,20,Y
170471,FG,AV-0400,46,Y
170504,FG,JW-3300,20,Y
170520,FG,JW-3300,26,Y
170528,XP,JK-0200,20,Y
170538,FG,JW-3300,24,Y
170551,FG,JK-0200,45,Y
170564,FG,JW-3300,51,Y
170572,FG,JK-0200,52,Y
170592,FG,JK-0200,34,Y
170609,XP,JK-0200,20,Y
170615,FG,JK-0200,53,N
170638,FG,JW-3300,33,Y
170651,FG,JK-0200,45,N
170657,FG,JW-3300,53,N
170684,XP,MV-0100,20,Y
170696,FG,MA-0700,22,Y
170704,XP,MV-0100,20,Y
170718,XP,MA-0700,20,Y
170729,XP,MV-0100,20,Y
170742,FG,MA-0700,31,N
170759,FG,MV-0100,45,Y
170769,XP,MA-0700,20,Y
170778,XP,MV-0100,20,Y
170780,XP,MA-0700,20,Y
170793,XP,MV-0100,20,Y
170813,XP,MA-0700,20,Y
170848,XP,RL-1300,20,Y
170854,FG,DA-0300,33,N
170863,XP,RL-1300,20,Y
170886,XP,DA-0300,20,Y
170940,XP,DA-0300,20,Y
170955,FG,RL-1300,21,Y
170985,FG,DA-0300,37,Y
170998,FG,DA-0300,31,Y
171013,XP,AV-0400,20,Y
171039,FG,AV-0400,31,Y
171052,FG,AV-0400,25,Y
171088,XP,MV-0100,20,Y
171096,FG,AV-0400,27,Y
171110,FG,AV-0400,21,Y
171151,XP,MV-0100,20,Y
171165,FG,AV-0400,34,Y
171213,XP,JK-0200,20,Y
171228,FG,DA-0300,41,Y
171270,XP,JK-0200,20,Y
171335,FG,AV-0400,31,N
171385,FG,AV-0400,36,N
171393,XP,AV-0400,20,Y
171403,XP,JK-0200,20,Y
171411,XP,AV-0400,20,Y
171414,FG,JK-0200,50,Y
171450,XP,AV-0400,20,Y
171498,XP,JK-0200,20,Y
171506,FG,AV-0400,41,Y
171518,FG,AV-0400,32,Y
171545,FG,MV-0100,32,Y
171560,XP,MV-0100,20,Y
171570,XP,AV-0400,20,Y
171580,XP,MV-0100,20,Y
171587,FG,AV-0400,43,Y
171601,XP,AV-0400,20,Y
171622,XP,AV-0400,20,Y
171637,XP,MV-0100,20,Y
171670,FG,MV-0100,48,N
171694,FG,AE-0700,33,N
171733,XP,AE-0700,20,Y
171762,FG,OM-0100,46,N
171776,XP,AE-0700,20,Y
171795,FG,AE-0700,22,Y
171812,XP,OM-0100,20,Y
171857,XP,RL-0900,20,Y
171882,FG,RL-0900,42,N
171902,FG,JS-1100,25,Y
171931,FG,JS-1100,27,Y
171952,FG,RL-0900,25,Y
171989,XP,JS-1100,20,Y
172011,XP,PE-0100,20,Y
172066,FG,JH-0900,27,Y
172077,FG,PE-0100,27,N
172078,XP,JH-0900,20,Y
172092,FG,JH-0900,21,Y
172119,XP,PE-0100,20,Y
172127,XP,JH-0900,20,Y
172214,FG,PD-0200,37,Y
172253,FG,MS-5200,42,Y
172271,XP,PD-0200,20,Y
172287,FG,PD-0200,25,Y
172295,XP,PD-0200,20,Y
172325,FG,KB-2300,37,Y
172338,FG,NK-0200,48,Y
172354,FG,KB-2300,20,Y
172369,XP,NK-0200,20,Y
172380,XP,KB-2300,20,Y
172410,XP,NK-0200,20,Y
172420,XP,KB-2300,20,Y
172431,FG,NK-0200,29,Y
172445,XP,NK-0200,20,Y
172475,FG,BC-3000,27,Y
172508,XP,MA-0700,20,Y
172533,XP,MA-0700,20,Y
172539,XP,BC-3000,20,Y
172549,XP,MA-0700,20,Y
172555,XP,BC-3000,20,Y
172566,XP,MA-0700,20,Y
172601,XP,MA-0700,20,Y
172665,XP,JB-7100,20,Y
172688,XP,JB-7100,20,Y
172699,XP,JC-0900,20,Y
172742,XP,JB-7100,20,Y
172794,XP,SG-1100,20,Y
172804,XP,DB-3900,20,Y
172818,XP,DB-3900,20,Y
172851,FG,SG-1100,22,Y
172871,XP,DB-3900,20,Y
172884,XP,SG-1100,20,Y
172895,FG,DB-3900,21,Y
172911,XP,DB-3900,20,Y
172920,XP,SG-1100,20,Y
172957,XP,SC-0700,20,Y
172963,XP,DA-0300,20,Y
172974,XP,DA-0300,20,Y
172997,XP,DA-0300,20,Y
173008,FG,DA-0300,45,Y
173016,FG,SC-0700,53,Y
173031,FG,DA-0300,53,N
173046,XP,DA-0300,20,Y
173089,XP,SC-0700,20,Y
173124,XP,JR-1100,20,Y
173150,XP,JR-1100,20,Y
173175,XP,SJ-0300,20,Y
173198,FG,SJ-0300,28,Y
173212,XP,JR-1100,20,Y
173233,FG,SJ-0300,38,Y
173256,FG,JR-1100,42,Y
173282,XP,JF-0900,20,Y
173315,XP,JF-0900,20,Y
173327,FG,TP-1200,23,Y
173354,FG,TP-1200,32,Y
173394,XP,JF-0900,20,Y
173405,XP,TP-1200,20,Y
173475,FG,JW-3300,50,Y
173481,FG,NR-0100,22,Y
173496,FG,JW-3300,28,Y
173522,FG,JW-3300,22,Y
173534,XP,NR-0100,20,Y
173593,XP,JH-0500,20,Y
173607,FG,JH-0500,50,N
173619,FG,JH-0500,20,Y
173624,FG,MG-1200,47,Y
173690,XP,MG-1200,20,Y
173716,FG,JH-0500,30,Y
173735,FG,JH-0500,34,Y
173748,XP,LT-1100,20,Y
173761,FG,JE-0200,43,Y
173779,XP,JE-0200,20,Y
173792,XP,JE-0200,20,Y
173824,FG,LT-1100,58,N
173831,FG,LT-1100,50,Y
173840,XP,LT-1100,20,Y
173845,XP,JE-0200,20,Y
173854,XP,LT-1100,20,Y
173872,FG,JE-0200,45,Y
173895,XP,JE-0200,20,Y
173933,FG,RL-1300,41,Y
173961,XP,JK-0200,20,Y
173973,XP,RL-1300,20,Y
173998,XP,RL-1300,20,Y
174017,XP,RL-1300,20,Y
174048,XP,JK-0200,20,Y
174096,XP,AV-0400,20,Y
174108,XP,AV-0400,20,Y
174122,FG,NR-0100,51,Y
174129,FG,NR-0100,52,Y
174147,FG,NR-0100,58,N
174163,FG,AV-0400,29,Y
174190,FG,AV-0400,28,Y
174203,FG,AV-0400,24,Y
174247,XP,JF-0900,20,Y
174271,XP,JF-0900,20,Y
174291,XP,JW-3300,20,Y
174298,FG,JF-0900,35,Y
174316,XP,JW-3300,20,Y
174332,FG,JW-3300,46,Y
174345,XP,JF-0900,20,Y
174349,XP,JF-0900,20,Y
174363,FG,JF-0900,25,Y
174389,XP,MS-5200,20,Y
174419,FG,MS-5200,35,Y
174428,FG,JR-1100,48,N
174451,FG,MS-5200,27,Y
174463,XP,MS-5200,20,Y
174498,XP,JR-1100,20,Y
174509,FG,MS-5200,34,Y
174530,XP,MS-5200,20,Y
174552,XP,BC-3000,20,Y
174574,FG,PD-0200,45,Y
174591,FG,PD-0200,23,Y
174605,FG,BC-3000,30,Y
174614,FG,PD-0200,49,Y
174626,FG,BC-3000,49,N
174640,XP,BC-3000,20,Y
174654,FG,PD-0200,22,Y
174732,FG,JH-0900,47,N
174752,XP,JH-0900,20,Y
174765,FG,KB-2300,34,Y
174792,XP,JH-0900,20,Y
174801,XP,KB-2300,20,Y
174803,XP,JH-0900,20,Y
174831,XP,JH-0900,20,Y
174865,FG,RL-1300,25,Y
174894,FG,RL-1300,45,N
174903,XP,PE-0100,20,Y
174919,XP,PE-0100,20,Y
174936,XP,PE-0100,20,Y
174958,XP,RL-1300,20,Y
174997,FG,PE-0100,45,N
175048,XP,JS-1100,20,Y
175056,FG,JE-0200,44,Y
175082,FG,JE-0200,22,Y
175115,FG,JE-0200,51,N
175171,FG,LT-1100,33,Y
175194,XP,JK-0200,20,Y
175206,XP,LT-1100,20,Y
175238,FG,LT-1100,47,N
175261,XP,JK-0200,20,Y
175271,XP,LT-1100,20,Y
175281,XP,JK-0200,20,Y
175293,XP,JK-0200,20,Y
175343,FG,TP-1200,30,Y
175348,XP,JC-0900,20,Y
175359,FG,JC-0900,32,Y
175375,XP,TP-1200,20,Y
175382,XP,JC-0900,20,Y
175396,FG,JC-0900,36,Y
175409,XP,TP-1200,20,Y
175422,FG,JC-0900,37,Y
175435,FG,TP-1200,33,Y
175471,XP,TP-1200,20,Y
175490,XP,JC-0900,20,Y
175513,XP,JH-0500,20,Y
175520,FG,SC-0700,47,N
175538,XP,SC-0700,20,Y
175554,XP,SC-0700,20,Y
175561,FG,SC-0700,38,Y
175578,FG,SC-0700,22,Y
175582,FG,JH-0500,41,N
175602,FG,SC-0700,51,N
175630,XP,JH-0500,20,Y
