PID,TYPE,BC,PSR,TRG,CONV
600069,PASS,XX-0000,MF-1000,AQ-0100,N
600221,PASS,XX-0000,AD-0100,TE-0300,N
600388,PASS,XX-0000,MS-4100,CJ-1100,N
601966,PASS,XX-0000,MS-4100,JF-0650,Y
602182,RUSH,RM-3900,XX-0000,XX-0000,Y
602828,PASS,XX-0000,JC-6200,EB-0600,Y
603459,RUSH,RR-0400,XX-0000,XX-0000,Y
604469,PASS,XX-0000,XX-0000,XX-0000,N
604599,PASS,XX-0000,TB-2300,JE-0100,Y
604955,PASS,XX-0000,KC-1400,JC-4300,N
605630,PASS,XX-0000,KO-0700,DB-5300,N
606421,RUSH,MI-0100,XX-0000,XX-0000,Y
606583,RUSH,SR-0700,XX-0000,XX-0000,Y
607096,RUSH,SV-0200,XX-0000,XX-0000,N
607367,PASS,XX-0000,PM-0200,WW-0200,Y
