PID,BLK,BRCV
387429,JM-3200,JM-3200
387695,JP-2000,XX-0000
388421,DW-2400,XX-0000
388519,GS-0900,MJ-0900
389651,BW-2200,MP-1000
390147,CC-0200,AR-1400
392953,RM-2400,NC-0200
393519,JJ-3700,WB-0700
394962,SR-1000,XX-0000
395092,SR-1000,XX-0000
396099,RB-0700,XX-0000
397092,KG-0900,XX-0000
397848,JR-0300,TJ-0100
398549,CC-0200,XX-0000
399337,AO-0200,DJ-2600
400026,FR-0100,XX-0000
400364,DJ-3000,QB-0100
402204,JH-3600,JH-3600
404104,II-0100,XX-0000
405228,MG-1800,XX-0000
405477,FR-0100,XX-0000
406023,DR-2800,AR-1400
406825,GH-0700,RB-0700
408187,CD-0700,XX-0000
410334,SR-1000,XX-0000
412338,MT-0600,XX-0000
412416,ES-1100,BS-2400
412805,AD-1400,XX-0000
413566,CL-1900,CL-1900
418892,CT-0600,RB-5000
420539,FR-0100,XX-0000
420744,RM-2400,XX-0000
421907,CD-0700,KB-1100
423136,RE-0100,XX-0000
423638,SJ-0500,JJ-1800
425426,GJ-0100,MW-1700
425530,BT-0600,XX-0000
425917,II-0100,XX-0000
427550,CL-1900,XX-0000
430387,RA-1600,XX-0000
431277,GH-0300,XX-0000
432258,AW-1500,GT-0300
434870,RJ-0800,RM-3100
435094,BP-0900,SC-0900
437079,DC-4700,KW-1200
437828,YB-0100,XX-0000
437867,ES-1100,EW-0100
438011,JP-2000,XX-0000
438091,DZ-0200,TM-1000
438464,SF-0800,XX-0000
440215,PC-0300,BS-3200
440256,PC-0300,KA-1000
440687,TW-0600,XX-0000
441958,RC-0800,XX-0000
441969,BM-3800,HE-0200
443145,JH-0300,XX-0000
444748,BB-0600,XX-0000
448522,NS-0300,XX-0000
448834,KR-0500,XX-0000
449762,II-0100,XX-0000
451351,JR-0300,MS-3500
451496,WG-0500,RM-1600
453192,BC-1700,XX-0000
456400,TT-1000,CW-1200
458437,CT-0600,DC-3200
458448,KC-2400,ET-0200
459180,DR-2800,XX-0000
459965,JF-2500,XX-0000
460179,SR-1000,XX-0000
461399,TS-2000,TS-2700
468326,CT-0600,XX-0000
475675,BO-0400,LF-0300
476175,JM-3600,IT-0200
477088,CC-0200,AJ-0400
481735,GS-0900,KB-2100
482115,JP-2000,XX-0000
482936,KD-1600,CA-0900
483256,DM-0200,JJ-5000
484528,PR-0400,XX-0000
485473,TS-1400,CF-0500
487133,NC-0200,XX-0000
487743,AC-0500,XX-0000
488996,RB-4300,KW-2500
489104,RB-4300,XX-0000
491000,RQ-0200,XX-0000
491664,PB-0100,JM-2800
492180,SJ-0500,XX-0000
494150,AS-3100,XX-0000
494908,CC-0200,XX-0000
496863,AH-2300,XX-0000
498811,CC-2500,LH-1500
499321,LG-0900,XX-0000
499728,CC-0200,XX-0000
499771,PP-0400,XX-0000
501874,JA-1500,DC-0100
502094,RB-4300,XX-0000
503984,CH-3100,RC-1300
505362,PR-0400,XX-0000
506781,JW-5100,NA-0100
507067,DB-5200,XX-0000
507497,JP-2000,XX-0000
507816,AC-0500,XX-0000
508118,JP-2900,XX-0000
508134,DB-0500,MR-1500
508397,KO-0800,ZP-0300
510082,NS-0800,XX-0000
512650,RS-0900,MG-0800
512727,TS-0900,AB-1100
513185,HF-0100,CJ-2300
513600,DL-0200,DR-2800
515420,JP-2000,XX-0000
515966,PP-0400,XX-0000
517401,BJ-2100,XX-0000
519111,MW-3300,CR-1200
519827,AT-0100,AC-1500
519869,CC-0200,XX-0000
520633,DR-3200,CL-1900
522141,QG-0400,XX-0000
522337,MM-5700,ES-0800
522399,MS-2400,JJ-3200
525018,LG-0900,XX-0000
526965,LG-0700,XX-0000
530996,TS-1400,JM-2800
531415,SD-0800,EJ-1000
532749,TB-2800,XX-0000
533167,BB-2600,DP-1950
535387,LJ-0200,XX-0000
536150,CM-0800,XX-0000
536193,JW-5100,OV-0200
536248,OV-0200,XX-0000
536552,DH-4000,DM-4030
536877,ZH-0200,XX-0000
537063,MG-1800,JB-0300
538840,AC-0500,XX-0000
538961,SM-2300,CW-3800
539179,OV-0200,XX-0000
539306,LH-1900,XX-0000
539551,KW-1400,XX-0000
540468,DW-1700,AH-2400
542651,NI-0100,LB-0100
543845,JJ-1550,QM-0200
545416,JP-2000,XX-0000
545452,KW-1400,XX-0000
547167,MJ-0600,MJ-0600
549647,DB-5200,XX-0000
554239,BB-2600,BB-2600
554419,MD-0100,XX-0000
555342,MW-1800,XX-0000
556348,AC-0500,XX-0000
557988,AW-1500,JB-3350
558035,RB-4300,RS-1000
558405,MD-0100,XX-0000
558698,DW-1700,XX-0000
559760,MH-1060,MH-1060
560395,CF-1000,KB-2450
562698,DB-5100,SK-0600
563464,JT-1300,XX-0000
565546,OS-0200,BC-1200
567319,JB-3350,RT-0100
567712,CD-0200,MS-2400
568620,BP-0900,AV-0300
568836,DJ-2350,XX-0000
570544,TP-1600,XX-0000
572634,RJ-0800,JS-6650
572928,SJ-0650,SJ-0650
573852,JK-0250,XX-0000
573872,LG-1000,DH-4250
575431,TP-2000,LG-0750
579244,CD-2200,RN-0300
581879,CJ-2050,SG-1400
583408,LG-1000,XX-0000
583457,CL-1000,XX-0000
584785,JW-1100,DS-5150
584971,JL-0500,CB-0450
586306,DM-2950,CT-0250
586838,JB-3350,XX-0000
587990,JD-2150,TD-2600
588719,DW-1700,MB-3000
590744,JW-1100,SK-0200
591288,DG-2000,SL-0200
591506,SB-1600,XX-0000
591737,JS-6650,GW-1400
596316,AA-0850,AA-0850
596693,BL-1350,XX-0000
597262,KO-0800,XX-0000
599686,JW-4100,GM-0800
601306,BP-0900,XX-0000
605055,JO-0550,CC-1050
